status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,drops,consenter_ids,roster_ids,status_updated,waiver_budget,adds_4171,adds,drops_6849,adds_7741,metadata_notes,settings_seq,settings_waiver_bid,adds_5010
complete,free_agent,,1665277411132,,5,[],741144911407095808,884641216405340160,,[12],[12],1665277411132,[],12.0,,,,,,,
complete,free_agent,,1665262674594,,5,[],595421624581287936,884579406889508864,,[10],[10],1665262674594,[],,,10.0,,,,,
complete,free_agent,,1665019093114,,5,[],451807541647634432,883557752113426432,,[1],[1],1665019093114,[],,,,1.0,,,,
complete,waiver,,1664962189017,,5,[],595421624581287936,883319079031824384,,[10],[10],1664982461343,[],,,,,Your waiver claim was processed successfully!,1.0,3.0,10.0
