roster_id,matchup_id,starters,players
1,2,"['7538', '6806', '4866', '5859', '2216', '4602', '8144', '1352', '3257']","['1049', '1352', '19', '2216', '2307', '3257', '3294', '4602', '4866', '5001', '5052', '5248', '5859', '6806', '7538', '7547', '7588', '7606', '7741', '8134', '8139', '8143', '8144', '8146', '8153', '8228', '8408', '956']"
2,5,"['4881', '4029', '4034', '5872', '5185', '4089', '6828', '5890', '96']","['1479', '3225', '4029', '4034', '4089', '4881', '5185', '5872', '5890', '5892', '5987', '6803', '6814', '6828', '6886', '6931', '7561', '7574', '8174', '8208', '96']"
3,4,"['167', '7528', '6955', '6794', '5927', '5844', '6783', '4098', '8160']","['1034', '167', '4036', '4098', '4234', '4951', '5022', '5549', '5844', '5927', '5947', '6148', '6783', '6794', '6804', '6847', '6955', '7528', '7593', '7794', '8121', '8138', '8159', '8160', '8162', '8189']"
4,6,"['6797', '4199', '7543', '8112', '5846', '4066', '2133', '5086', '4046']","['1387', '1535', '1833', '2133', '2152', '4046', '4066', '4131', '4147', '4199', '4455', '490', '4943', '5086', '5209', '5846', '5854', '6790', '6797', '6805', '7066', '7533', '7543', '7553', '7569', '8112', '8168']"
5,1,"['421', '4988', '8151', '5937', '2197', '4217', '2309', '7525', '7523']","['1067', '1244', '1817', '1837', '2078', '2197', '2306', '2309', '3423', '421', '4217', '4973', '4981', '4988', '5122', '5937', '6694', '7523', '7525', '7572', '7591', '7594', '7601', '8118', '8151', '8171', '8230']"
6,3,"['3976', '6845', '8155', '5955', '7596', '4033', '3271', '5967', '4080']","['3157', '3214', '3271', '3976', '4017', '4033', '4080', '5917', '5955', '5967', '5980', '6126', '6845', '7045', '7527', '7554', '7571', '7587', '7596', '8136', '8155']"
7,2,"['6904', '4663', '4137', '6819', '6801', '2505', '6151', '4018', '1166']","['1166', '2374', '2399', '2505', '3199', '3200', '4018', '4137', '4574', '4663', '4892', '5970', '6151', '6801', '6819', '6826', '6843', '6904', '6945', '7090', '7585', '8131', '8132', '8135', '8147', '8148', '8154', '8176', '8223', '830']"
8,1,"['5849', '5347', '5850', '1689', '4068', '1466', '5848', '6130', '2028']","['1339', '1373', '1408', '1466', '1689', '2028', '2319', '2325', '3242', '3664', '4068', '4985', '5347', '5848', '5849', '5850', '6130', '6824', '6853', '6957', '7535', '7567', '7608', '7612', '8179', '943']"
9,3,"['1234', '4035', '4149', '7526', '6786', '5133', '4037', '5284', '3163']","['1234', '1825', '2251', '2749', '3163', '3202', '345', '4035', '4037', '4149', '4152', '4197', '4983', '5133', '5284', '5916', '6786', '6938', '7526', '7568', '8119', '8123', '8140', '8150', '8161', '8164', '8172', '947']"
10,5,"['6770', '8129', '6820', '2449', '5045', '7602', '7611', '4082', '5870']","['1992', '2449', '4082', '4993', '5010', '5045', '5110', '5870', '5880', '6770', '6813', '6820', '6869', '7602', '7607', '7610', '7611', '7670', '8111', '8117', '8126', '8129', '8188', '829', '928']"
11,6,"['24', '3198', '3969', '7564', '4039', '5012', '7600', '5000', '5038']","['1029', '1426', '24', '3198', '3969', '4039', '4111', '4454', '4962', '5000', '5012', '5038', '5536', '5906', '6271', '6768', '6885', '7564', '7589', '7600', '7605', '8205', '8221']"
12,4,"['4984', '3164', '2320', '3321', '4950', '5857', '6943', '4040', '3161']","['2161', '2320', '2359', '3161', '3164', '3286', '3321', '4040', '4171', '4381', '4950', '4984', '5857', '5878', '6156', '6895', '6943', '6951', '6984', '7529', '7562', '8116', '8130', '8137', '8142', '8167', '8211', '8219']"
