status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,adds,consenter_ids,roster_ids,status_updated,waiver_budget,drops_5854,drops,adds_6037,adds_7757,drops_5127
complete,free_agent,,1671600439269,,15,[],548317142968336384,911161918616846336,,[7],[7],1671600439269,[],7.0,,,,
complete,free_agent,,1671313683802,,15,[],595421624581287936,909959179014684672,,[10],[10],1671313683802,[],,,10.0,,
complete,free_agent,,1671196818802,,15,[],605920336407511040,909469011677626368,,[8],[8],1671196818802,[],,,,8.0,
complete,free_agent,,1671118185268,,15,[],741144911407095808,909139198731235328,,[12],[12],1671118185268,[],,,,,12.0
