year,league_id,draft_id
2025,1207451952707813376,1207451952711999488
2024,1068009064141062144,1068009064141062145
2023,942315883328843776,942315883328843777
2022,806801792825397248,806801792825397249
2021,650070203996131328,650070203996131329
2020,594416924201373696,594416929960157184
