roster_id,matchup_id,starters,players
1,5,"['1166', '9226', '9502', '11624', '11604', '4983', '7611', '2393', '7640', '8339', '5991']","['11604', '11624', '1166', '1373', '2393', '4066', '4070', '4983', '5991', '7528', '7562', '7611', '7640', '8339', '8676', '9226', '9502']"
2,5,"['5849', '4866', '8121', '10444', '8130', '2749', '4018', '5862', '5346', '10905', '1233']","['10444', '10905', '11563', '11626', '1233', '2749', '4018', '4866', '5041', '5346', '5849', '5862', '5872', '7715', '8121', '8130', '8205']"
3,2,"['7523', '4098', '7090', '10222', '1466', '5892', '6790', '5871', '6815', '4081', '7648']","['10222', '10880', '1234', '1466', '2449', '3294', '4081', '4098', '4217', '4663', '5848', '5871', '5892', '6790', '6815', '7049', '7090', '7523', '7648', '7651']"
4,2,"['6797', '6806', '6786', '7547', '8110', '11632', '11655', '5840', '5944', '6788', '6880']","['11583', '11632', '11655', '1426', '1479', '4034', '5840', '5944', '6786', '6788', '6797', '6806', '6826', '6880', '7547', '7588', '8110', '9488']"
5,3,"['4892', '9509', '6794', '11635', '8111', '11584', '8136', '5847', '5960', '8392', '6214']","['11584', '11635', '4892', '4950', '5022', '5816', '5847', '5947', '5960', '6214', '6770', '6794', '8111', '8136', '8143', '8392', '9509']"
6,4,"['4881', '6813', '2133', '7571', '9484', '4035', '4988', '10917', '5894', '5876', '10923']","['10917', '10923', '11638', '2133', '3973', '4035', '4881', '4943', '4988', '5846', '5876', '5894', '6803', '6813', '7571', '7600', '8142', '8408', '9484']"
7,1,"['4046', '5850', '7525', '3321', '10859', '5045', '4199', '3303', '6302', '5017', '1052']","['1052', '10859', '11560', '3303', '3321', '4037', '4046', '4199', '5017', '5045', '5850', '6302', '6807', '6845', '7021', '7525', '7635', '8134']"
8,1,"['3163', '9221', '7564', '9997', '5001', '4039', '8138', '10892', '8266', '4971', '7672']","['10892', '2374', '3163', '4039', '4971', '5001', '5844', '7564', '7672', '8137', '8138', '8148', '8266', '8355', '9221', '9758', '9997']"
9,4,"['4984', '8155', '11637', '9756', '10236', '9225', '9224', '4135', '5332', '5882', '11086']","['10236', '11086', '11620', '11637', '4135', '4960', '4984', '5332', '5882', '6801', '7543', '8155', '8289', '9224', '9225', '9508', '9756']"
10,6,"['6904', '9753', '8112', '8146', '3214', '8144', '5859', '5030', '6315', '10891', '5348']","['10891', '11589', '3214', '5030', '5348', '5859', '6130', '6315', '6819', '6904', '8112', '8144', '8146', '96', '9753', '9757']"
11,6,"['2306', '8150', '9500', '5927', '5012', '4137', '5967', '6183', '1192', '8333', '8267']","['1192', '2216', '2306', '4137', '5012', '5927', '5967', '5987', '6183', '7594', '8150', '8183', '8267', '8333', '9493', '9500']"
12,3,"['11566', '3198', '11628', '4981', '4033', '7526', '8151', '2036', '2350', '6888', '6949']","['11566', '11628', '11631', '2036', '2309', '2350', '3198', '4033', '4981', '5937', '6804', '6888', '6949', '7526', '7553', '7569', '8151', '8154', '8364']"
