roster_id,matchup_id,starters,players
1,4,"['1166', '7611', '4983', '9502', '11604', '7528', '8676', '2393', '4070', '8339', '5991']","['11604', '11624', '1166', '1373', '2393', '4066', '4070', '4983', '5991', '7528', '7611', '7640', '8339', '8676', '9226', '9502']"
2,5,"['5849', '4866', '5872', '8126', '8130', '7049', '4018', '5862', '5346', '10905', '1233']","['10905', '11576', '1233', '4018', '4866', '5041', '5346', '5849', '5862', '5872', '6938', '7049', '7715', '8126', '8129', '8130', '8205']"
3,2,"['3294', '5892', '2449', '10222', '4217', '6790', '7090', '5871', '6815', '4081', '7651']","['10222', '1466', '2449', '3172', '3294', '4081', '4098', '4217', '5580', '5848', '5871', '5892', '6790', '6815', '7090', '7591', '7651', '9756']"
4,5,"['4017', '6806', '6786', '7547', '7600', '11655', '7588', '6118', '5944', '6788', '6880']","['10235', '11583', '11632', '11655', '1479', '4017', '4034', '5944', '6118', '6149', '6786', '6788', '6797', '6806', '6880', '7547', '7588', '7600', '9488']"
5,3,"['6770', '9509', '5096', '11635', '5022', '11584', '8143', '5816', '5960', '8392', '6214']","['11584', '11635', '4892', '4950', '5022', '5096', '5816', '5947', '5960', '6214', '6770', '6794', '8136', '8143', '8392', '9509']"
6,4,"['4881', '8408', '6803', '5846', '9484', '5185', '4035', '3973', '5894', '5876', '10923']","['10923', '2133', '3973', '4035', '4663', '4881', '4943', '4988', '5185', '5846', '5876', '5894', '6803', '6813', '8142', '8408', '9484']"
7,6,"['11560', '5850', '7525', '4037', '10859', '7021', '6845', '3303', '6302', '5017', '6807']","['10859', '11560', '3303', '3321', '4037', '4046', '4199', '5017', '5045', '5850', '6302', '6807', '6845', '7021', '7525', '7635', '8134']"
8,1,"['9758', '9221', '7564', '8137', '6826', '9997', '2374', '10892', '1875', '4971', '8266']","['10892', '1875', '2374', '3163', '4039', '4971', '5844', '6826', '7564', '8137', '8138', '8148', '8266', '8355', '9221', '9758', '9997']"
9,1,"['4984', '8155', '11620', '6801', '10236', '7543', '9224', '8289', '4960', '8314', '10970']","['10236', '10970', '11086', '11620', '11637', '4960', '4984', '5332', '6801', '7543', '8155', '8265', '8289', '8314', '9224', '9225', '9508']"
10,6,"['6904', '9753', '8144', '8146', '8131', '8112', '5859', '5030', '6315', '3233', '5348']","['11589', '3164', '3233', '5030', '5348', '5859', '6130', '6315', '6819', '6904', '8112', '8131', '8144', '8146', '96', '9753', '9757']"
11,3,"['8183', '5967', '5927', '2216', '8110', '4137', '7594', '10899', '5726', '8333', '6218']","['10899', '2216', '4137', '5012', '5726', '5927', '5967', '5987', '6183', '6218', '7594', '8110', '8117', '8150', '8183', '8333', '9493', '9500']"
12,2,"['6804', '8151', '11628', '11631', '7553', '2309', '3198', '5840', '6485', '6888', '1192']","['11566', '11628', '11631', '1192', '2309', '2350', '3198', '5840', '5937', '6485', '6804', '6888', '7526', '7553', '7569', '8151', '8154', '9486']"
