draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1111766493164949505,8,,37,595464158774878208,5850,,7,4,36,Josh,,Jacobs,1724544624908,8,5850,RB,8,nfl,Active,GB,,,5
1111766493164949505,2,,38,594730254984077312,11632,,4,4,14,Malik,,Nabers,1723997736825,1,11632,WR,2,nfl,Active,NYG,,,0
1111766493164949505,3,,39,861798755085692928,6801,,9,4,17,Tee,,Higgins,1724368255583,5,6801,WR,3,nfl,Active,CIN,,,4
1111766493164949505,7,,40,740751073198948352,7526,,12,4,22,Jaylen,Questionable,Waddle,1724873703835,17,7526,WR,7,nfl,Active,MIA,,,3
1111766493164949505,5,,41,862559746694205440,1466,,3,4,26,Travis,,Kelce,1724361655957,87,1466,TE,5,nfl,Active,KC,,,11
1111766493164949505,12,,42,741144911407095808,5846,,6,4,23,DK,,Metcalf,1724592629868,14,5846,WR,12,nfl,Active,SEA,,,5
1111766493164949505,10,,43,561715408029736960,6819,,10,4,16,Michael,,Pittman,1724425806845,11,6819,WR,10,nfl,Active,IND,,,4
1111766493164949505,7,,44,740751073198948352,8154,,12,4,14,Brian,,Robinson,1723995335516,8,8154,RB,7,nfl,Active,WAS,,,2
1111766493164949505,9,,45,862499213718704128,5012,,11,4,21,Mark,Questionable,Andrews,1725044112920,89,5012,TE,9,nfl,Active,BAL,,,6
1111766493164949505,7,,46,740751073198948352,7569,,12,4,21,Nico,,Collins,1724860563239,12,7569,WR,7,nfl,Active,HOU,,,3
1111766493164949505,11,,47,830975786608619520,9997,,8,4,13,Zay,,Flowers,1724343343714,4,9997,WR,11,nfl,Active,BAL,,,1
1111766493164949505,6,,48,1045522732957417472,9502,,1,4,19,Tank,,Dell,1724849762279,3,9502,WR,6,nfl,Active,HOU,,,1
1111766493164949505,4,,49,1130644355074629632,8136,,5,5,37,Rachaad,,White,1724511320753,1,8136,RB,4,nfl,Active,TB,,,2
1111766493164949505,6,,50,1045522732957417472,4983,,1,5,26,DJ,,Moore,1724176825227,2,4983,WR,6,nfl,Active,CHI,,,6
1111766493164949505,1,,51,578293895956312064,4018,,2,5,27,Joe,,Mixon,1724518220752,28,4018,RB,1,nfl,Active,HOU,,,7
1111766493164949505,7,,52,740751073198948352,7553,,12,5,16,Kyle,,Pitts,1724344843292,8,7553,TE,7,nfl,Active,ATL,,,3
