Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Tyler,1,2023-R2,2023,RB,Kendre Miller,$4.75,$4.75,,,,,$2.50,,,1
Tyler,2,2024-R2,2024,RB,MarShawn Lloyd,$4.50,$4.50,$4.50,,,,$2.25,$1.25,,1
Tyler,1,RFA,2024,RB,Nick Chubb,$27.75,$27.75,,,,,$14.00,,,1
Tyler,1,2023-R3,2023,RB,Roschon Johnson,$3.00,$3.00,,,,,$1.50,,,1
Tyler,2,2024-R2,2024,RB,Trey Benson,$6.75,$6.75,$6.75,,,,$3.50,$1.75,,1
Tyler,1,RFA,2024,TE,George Kittle,$14.50,$14.50,,,,,$7.25,,,1
Tyler,1,2023-R3,2023,TE,Luke Musgrave,$2.75,$2.75,,,,,$1.50,,,1
Tyler,1,2023-R4,2023,TE,Tucker Kraft,$1.25,$1.25,,,,,$0.75,,,1
Tyler,2,FM,2024,WR,Calvin Ridley,$16.50,$16.50,$16.50,,,,$8.25,$4.25,,1
Tyler,1,RFA,2024,WR,DeVonta Smith,$24.50,$24.50,,,,,$12.25,,,1
Tyler,4,UFA,2025,WR,George Pickens,$16.50,$16.50,$16.50,$16.50,$16.50,,$8.25,$37.25,,1
Tyler,3,2025-R3,2025,WR,Jaylin Noel,$3.50,$3.50,$3.50,$3.50,,,$1.75,$3.50,,1
Tyler,1,RFA,2024,WR,Jerry Jeudy,$18.25,$18.25,,,,,$9.25,,,1
Tyler,2,2023-R1,2023,WR,Jordan Addison,$7.00,$7.00,$18.00,,,,$3.50,$4.50,,1
Tyler,3,2025-R2,2025,WR,Tre Harris,$5.00,$5.00,$5.00,$5.00,,,$2.50,$5.00,,1
Tyler-Cut,2,UFA,2024,QB,Derek Carr,$31.25,$31.25,$31.25,,,,$0.00,$0.00,,1
Tyler-Cut,2,2024-R4,2024,WR,Brenden Rice,$1.75,$1.75,$1.75,,,,$0.00,$0.00,,1
Tyler-Cut,2,2024-R3,2024,WR,Javon Baker,$3.75,$3.75,$3.75,,,,$2.00,$1.00,,1
Tyler-TS,3,2025-R4,2025,QB,Dillon Gabriel,$2.25,$2.25,$2.25,$2.25,,,$1.25,$2.25,,1
Tyler-TS,3,2025-R4,2025,TE,Gunnar Helm,$1.25,$1.25,$1.25,$1.25,,,$0.75,$1.25,,1
Tyler-TS,2,2024-R4,2024,WR,Devontez Walker,$2.25,$2.25,$2.25,,,,$1.25,$0.50,,1
Tyler-TS,2,2024-R3,2024,WR,Jermaine Burton,$3.50,$3.50,$3.50,,,,$1.75,$1.00,,1
Zeke,1,2023-R1,2023,QB,Anthony Richardson,$8.00,$8.00,,,,,$4.00,,,1
Zeke,1,RFA,2024,QB,Dak Prescott,$45.50,$45.50,,,,,$22.75,,,1
Zeke,2,UFA,2025,QB,Daniel Jones,$16.00,$16.00,$16.00,,,,$8.00,$4.00,,1
Zeke,3,UFA,2024,QB,Geno Smith,$15.00,$15.00,$15.00,$15.00,,,$7.50,$15.00,,1
Zeke,1,2023-R4,2023,QB,Stetson Bennett,$1.00,$1.00,,,,,$0.50,,,1
Zeke,1,RFA/Rstr2024,2024,RB,Christian McCaffrey,$72.00,$36.00,,,,,$18.00,,,1
Zeke,1,FM,2024,RB,Ezekiel Elliott,$10.00,$10.00,,,,,$5.00,,,1
Zeke,1,RFA,2024,RB,Joe Mixon,$30.00,$30.00,,,,,$15.00,,,1
Zeke,3,FM,2025,RB,Tyler Allgeier,$10.00,$10.00,$10.00,$10.00,,,$5.00,$10.00,,1
Zeke,2,2024-R4,2024,TE,Theo Johnson,$2.00,$2.00,$2.00,,,,$1.00,$0.50,,1
Zeke,2,UFA,2025,WR,Darnell Mooney,$15.00,$15.00,$15.00,,,,$7.50,$3.75,,1
Zeke,3,UFA,2025,WR,Deebo Samuel,$12.00,$12.00,$12.00,$12.00,,,$6.00,$12.00,,1
Zeke,1,2023-R2,2023,WR,Jonathan Mingo,$4.50,$4.50,,,,,$2.25,,,1
Zeke,3,FM,2024,WR,Mike Evans,$20.00,$20.00,$20.00,$20.00,,,$10.00,$20.00,,1
Zeke,4,FM,2025,WR,Mike Williams,$6.00,$6.00,$6.00,$6.00,$6.00,,$3.00,$13.50,,1
Zeke,1,RFA,2024,WR,Nico Collins,$20.00,$20.00,,,,,$10.00,,,1
Zeke,1,2023-R2,2023,WR,Rashee Rice,$5.00,$5.00,,,,,$2.50,,,1
Zeke-TS,3,2025-R4,2025,RB,Jordan James,$2.00,$2.00,$2.00,$2.00,,,$1.00,$2.00,,1
Zeke-TS,3,2025-R3,2025,TE,Terrance Ferguson,$3.50,$3.50,$3.50,$3.50,,,$1.75,$3.50,,1
Zeke-TS,3,2025-R4,2025,WR,Isaac TeSlaa,$2.00,$2.00,$2.00,$2.00,,,$1.00,$2.00,,1
Zeke-TS,2,2024-R4,2024,WR,Jacob Cowing,$1.50,$1.50,$1.50,,,,$0.75,$0.50,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
,,,,,,,,,,,,$0.00,x,,1
