Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Kevin,3,FM,2024,WR,Amon-Ra St. Brown,$46.50,$46.50,$46.50,$46.50,,,$23.25,$46.50,,1
Kevin,3,UFA/Rstr2024,2024,WR,Chris Godwin,$22.00,$11.00,$11.00,$11.00,,,$5.50,$11.00,,1
Kevin,3,2025-R1,2025,WR,Emeka Egbuka,$7.25,$7.25,$7.25,$7.25,,,$3.75,$7.25,,1
Kevin-TS,3,2025-R2,2025,WR,Jayden Higgins,$6.00,$6.00,$6.00,$6.00,,,$3.00,$6.00,,1
Kevin,1,2023-R2,2023,WR,Josh Downs,$3.50,$3.50,,,,,$1.75,,,1
Kevin,2,FM,2025,WR,Keenan Allen,$5.25,$5.25,$5.25,,,,$2.75,$1.25,,1
Kevin,2,2024-R1,2024,WR,Ladd McConkey,$7.00,$7.00,$7.00,,,,$3.50,$1.75,,1
Kevin,1,2023-R4,2023,WR,Puka Nacua,$1.00,$1.00,,,,,$0.50,,,1
Kevin,3,2025-R4,2025,WR,Savion Williams,$1.00,$1.00,$1.00,$1.00,,,$0.50,$1.00,,1
Kevin,2,2024-R1,2024,WR,Xavier Worthy,$7.25,$7.25,$7.25,,,,$3.75,$1.75,,1
Kevin-TS,2,2024-R2,2024,RB,Blake Corum,$5.75,$5.75,$5.75,,,,$3.00,$1.50,,1
Kevin-TS,3,2025-R3,2025,RB,Brashard Smith,$2.75,$2.75,$2.75,$2.75,,,$1.50,$2.75,,1
Kevin-TS,3,2025-R2,2025,TE,Mason Taylor,$5.50,$5.50,$5.50,$5.50,,,$2.75,$5.50,,1
Marcus,2,RFA,2025,QB,Josh Allen,$60.00,$30.00,$90.00,,,,$15.00,$22.50,,1
Marcus,1,RFA,2024,QB,Patrick Mahomes,$55.00,$82.50,,,,,$41.25,,,1
Marcus,2,FM,2024,RB,Aaron Jones,$20.50,$20.50,$20.50,,,,$10.25,$5.25,,1
Marcus,4,FM,2025,RB,Javonte Williams,$7.00,$7.00,$7.00,$7.00,$7.00,,$3.50,$15.75,,1
Marcus,1,2022-R1,2022,RB,Kenneth Walker,$7.50,$11.75,,,,,$6.00,,,1
Marcus,4,UFA,2025,RB,Miles Sanders,$0.50,$0.50,$0.50,$0.50,$0.50,,$0.25,$1.25,,1
Marcus,3,2025-R1,2025,RB,Quinshon Judkins,$8.50,$8.50,$8.50,$8.50,,,$4.25,$8.50,,1
Marcus,3,2025-R1,2025,RB,RJ Harvey,$7.75,$7.75,$7.75,$7.75,,,$4.00,$7.75,,1
Marcus,3,UFA,2024,RB,Samaje Perine,$1.00,$1.00,$1.00,$1.00,,,$0.50,$1.00,,1
Marcus,1,2023-R1,2023,TE,Dalton Kincaid,$6.25,$6.25,$9.75,,,,$3.25,,,1
Marcus,2,RFA,2025,TE,Kyle Pitts,$14.00,$14.00,$14.00,,,,$7.00,$3.50,,1
Marcus,1,RFA,2024,WR,Brandon Aiyuk,$19.50,$19.50,,,,,$9.75,,,1
Marcus,1,FT,2025,WR,CeeDee Lamb,$43.50,$43.50,,,,,$21.75,,,1
Marcus,1,2022-R1,2022,WR,Drake London,$7.00,$18.00,,,,,$9.00,,,1
Marcus,4,FM,2025,WR,Jahan Dotson,$0.50,$0.50,$0.50,$0.50,$0.50,,$0.25,$1.25,,1
Marcus,2,2023-R1,2023,WR,Jaxon Smith-Njigba,$7.50,$7.50,$18.00,,,,$3.75,$4.50,,1
Marcus-TS,2,2024-R4,2024,TE,Cade Stover,$1.00,$1.00,$1.00,,,,$0.50,$0.25,,1
Marcus-TS,3,2025-R3,2025,TE,Elijah Arroyo,$2.50,$2.50,$2.50,$2.50,,,$1.25,$2.50,,1
Marcus-TS,3,2025-R3,2025,WR,Elic Ayomanor,$2.50,$2.50,$2.50,$2.50,,,$1.25,$2.50,,1
Marcus-TS,2,2024-R3,2024,WR,Jalen McMillan,$2.50,$2.50,$2.50,,,,$1.25,$0.75,,1
Matt,3,UFA,2025,QB,Jameis Winston,$9.50,$9.50,$9.50,$9.50,,,$4.75,$9.50,,1
Matt,2,2024-R1,2024,QB,Jayden Daniels,$9.25,$9.25,$9.25,,,,$4.75,$2.25,,1
Matt,1,RFA,2024,QB,Joe Burrow,$46.00,$46.00,,,,,$23.00,,,1
Matt,3,FM,2025,QB,Sam Darnold,$26.50,$26.50,$26.50,$26.50,,,$13.25,$26.50,,1
Matt,2,2023-R1,2023,RB,Bijan Robinson,$8.50,$8.50,$23.50,,,,$4.25,$6.00,,1
Matt,2,2024-R3,2024,RB,Braelon Allen,$3.00,$3.00,$3.00,,,,$1.50,$0.75,,1
Matt,2,UFA,2024,RB,Rico Dowdle,$5.00,$5.00,$5.00,,,,$2.50,$1.25,,1
Matt,1,2023-R2,2023,RB,Tyjae Spears,$4.00,$4.00,,,,,$2.00,,,1
Matt,2,2024-R4,2024,RB,Tyrone Tracy,$2.00,$2.00,$2.00,,,,$1.00,$0.50,,1
Matt,3,FM,2024,TE,T.J. Hockenson,$17.50,$17.50,$17.50,$17.50,,,$8.75,$17.50,,1
Matt,2,2024-R2,2024,WR,Brian Thomas,$6.00,$6.00,$6.00,,,,$3.00,$1.50,,1
Matt,2,UFA,2025,WR,Cedric Tillman,$4.50,$4.50,$4.50,,,,$2.25,$1.25,,1
Matt,1,FM,2023,WR,Curtis Samuel,$3.50,$3.50,,,,,$1.75,,,1
Matt,3,FM,2024,WR,DK Metcalf,$33.50,$33.50,$33.50,$33.50,,,$16.75,$33.50,,1
Matt,2,UFA,2024,WR,Joshua Palmer,$13.00,$13.00,$13.00,,,,$6.50,$3.25,,1
