Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,full_name,Per_Year_M,2025,2026,2027,2028,Unnamed: 11,2025.1,2026.1,2027.1,1 or 2 years?,player_type
Jim,1.0,RFA,2024.0,WR,Elijah Moore,$12.25,$12.25,  ,  ,  ,,$6.25,,,1,  
Jim,1.0,2022-R1,2022.0,WR,Garrett Wilson,$5.75,$18.00,  ,  ,  ,,$9.00,,,1,  
Jim,1.0,UFA,2023.0,WR,Hollywood Brown,$15.00,$15.00,  ,  ,  ,,$7.50,,,1,  
Jim,2.0,2024-R1/Rstr,2024.0,WR,Malik Nabers,$9.00,$4.50,$13.50,  ,  ,,$2.25,$3.50,,1,  
Jim,2.0,2024-R1,2024.0,WR,Marvin Harrison,$9.75,$9.75,$9.75,  ,  ,,$5.00,$2.50,,1,  
Jim,2.0,2023-R1,2023.0,WR,Quentin Johnston,$6.75,$6.75,$18.00,  ,  ,,$3.50,$4.50,,1,  
Jim,1.0,FM,2024.0,WR,Rashod Bateman,$3.00,$3.00,  ,  ,  ,,$1.50,,,1,  
Jim,3.0,2025-R4,2025.0,WR,Tai Felton,$1.00,$1.00,$1.00,$1.00,  ,,$0.50,$1.00,,1,  
Jim,1.0,RFA,2024.0,WR,Tee Higgins,$18.25,$18.25,  ,  ,  ,,$9.25,,,1,  
Jim,1.0,RFA,2024.0,WR,Terry McLaurin,$18.25,$18.25,  ,  ,  ,,$9.25,,,1,  
Jim,1.0,2023-R4,2023.0,WR,Tre Tucker,$1.50,$1.50,  ,  ,  ,,$0.75,,,1,  
Kevin,2.0,RFA,2025.0,QB,Baker Mayfield,$40.00,$40.00,$40.00,  ,  ,,$20.00,$10.00,,1,  
Kevin,2.0,2023-R1,2023.0,QB,C.J. Stroud,$7.25,$7.25,$23.75,  ,  ,,$3.75,$6.00,,1,  
Kevin,2.0,2024-R1,2024.0,QB,Drake Maye,$7.50,$7.50,$7.50,  ,  ,,$3.75,$2.00,,1,  
Kevin,2.0,FM,2024.0,RB,David Montgomery,$21.50,$21.50,$21.50,  ,  ,,$10.75,$5.50,,1,  
Kevin,2.0,UFA,2025.0,RB,Isaiah Davis,$2.00,$2.00,$2.00,  ,  ,,$1.00,$0.50,,1,  
Kevin,2.0,2023-R1,2023.0,RB,Jahmyr Gibbs,$7.75,$7.75,$23.50,  ,  ,,$4.00,$6.00,,1,  
Kevin,2.0,UFA,2023.0,RB,Jerome Ford,$4.50,$4.50,$4.50,  ,  ,,$2.25,$1.25,,1,  
Kevin,1.0,UFA,2025.0,RB,Kareem Hunt,$9.50,$9.50,  ,  ,  ,,$4.75,,,1,  
Kevin,1.0,UFA,2022.0,RB,Saquon Barkley,$33.50,$33.50,  ,  ,  ,,$16.75,,,1,  
Kevin,2.0,RFA,2025.0,TE,Brenton Strange,$9.25,$9.25,$9.25,  ,  ,,$4.75,$2.25,,1,  
Kevin,3.0,FM,2024.0,TE,Travis Kelce,$18.00,$18.00,$18.00,$18.00,  ,,$9.00,$18.00,,1,  
Kevin,3.0,FM,2024.0,WR,Amon-Ra St. Brown,$46.50,$46.50,$46.50,$46.50,  ,,$23.25,$46.50,,1,  
Kevin,3.0,UFA/Rstr2024,2024.0,WR,Chris Godwin,$22.00,$11.00,$11.00,$11.00,  ,,$5.50,$11.00,,1,  
Kevin,3.0,2025-R1,2025.0,WR,Emeka Egbuka,$7.25,$7.25,$7.25,$7.25,  ,,$3.75,$7.25,,1,  
Kevin,3.0,2025-R2,2025.0,WR,Jayden Higgins,$6.00,$6.00,$6.00,$6.00,  ,,$3.00,$6.00,,1,TS
Kevin,1.0,2023-R2,2023.0,WR,Josh Downs,$3.50,$3.50,  ,  ,  ,,$1.75,,,1,  
Kevin,2.0,FM,2025.0,WR,Keenan Allen,$5.25,$5.25,$5.25,  ,  ,,$2.75,$1.25,,1,  
Kevin,2.0,2024-R1,2024.0,WR,Ladd McConkey,$7.00,$7.00,$7.00,  ,  ,,$3.50,$1.75,,1,  
Kevin,1.0,2023-R4,2023.0,WR,Puka Nacua,$1.00,$1.00,  ,  ,  ,,$0.50,,,1,  
Kevin,3.0,2025-R4,2025.0,WR,Savion Williams,$1.00,$1.00,$1.00,$1.00,  ,,$0.50,$1.00,,1,  
Kevin,2.0,2024-R1,2024.0,WR,Xavier Worthy,$7.25,$7.25,$7.25,  ,  ,,$3.75,$1.75,,1,  
Kevin,2.0,2024-R2,2024.0,RB,Blake Corum,$5.75,$5.75,$5.75,  ,  ,,$3.00,$1.50,,1,TS
Kevin,3.0,2025-R3,2025.0,RB,Brashard Smith,$2.75,$2.75,$2.75,$2.75,  ,,$1.50,$2.75,,1,TS
Kevin,3.0,2025-R2,2025.0,TE,Mason Taylor,$5.50,$5.50,$5.50,$5.50,  ,,$2.75,$5.50,,1,TS
Marcus,2.0,RFA,2025.0,QB,Josh Allen,$60.00,$30.00,$90.00,  ,  ,,$15.00,$22.50,,1,  
Marcus,1.0,RFA,2024.0,QB,Patrick Mahomes,$55.00,$82.50,  ,  ,  ,,$41.25,,,1,  
Marcus,2.0,FM,2024.0,RB,Aaron Jones,$20.50,$20.50,$20.50,  ,  ,,$10.25,$5.25,,1,  
Marcus,4.0,FM,2025.0,RB,Javonte Williams,$7.00,$7.00,$7.00,$7.00,$7.00,,$3.50,$15.75,,1,  
Marcus,1.0,2022-R1,2022.0,RB,Kenneth Walker,$7.50,$11.75,  ,  ,  ,,$6.00,,,1,  
Marcus,4.0,UFA,2025.0,RB,Miles Sanders,$0.50,$0.50,$0.50,$0.50,$0.50,,$0.25,$1.25,,1,  
