status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_9511,drops_6814,drops,adds_8195,drops_7002,metadata,settings,adds_7593,adds_6144,adds_5122,adds_6918,adds_1476,drops_4381,adds,drops_7551
failed,waiver,1696399129927,4,[],561715408029736960,1015175166038573056,[2],[2],1696432037809,[],This player was claimed by another owner.,3.0,2.0,2.0,2.0,,,,,,,,,,,,,
complete,waiver,1696397163777,4,[],561715408029736960,1015166919407714304,[2],[2],1696432037809,[],Your waiver claim was processed successfully!,1.0,2.0,,,,2.0,,,,,,,,,,,
complete,waiver,1696300977185,4,[],451807541647634432,1014763483600654336,[1],[1],1696432037809,[],Your waiver claim was processed successfully!,2.0,2.0,1.0,,,,1.0,,,,,,,,,,
complete,free_agent,1696140080365,4,[],561715408029736960,1014088633424371712,[2],[2],1696140080365,[],,,,,,,,,,,2.0,,,,,,,
complete,free_agent,1696140077072,4,[],561715408029736960,1014088619612528640,[2],[2],1696140077072,[],,,,,,,,,,,,2.0,,,,,,
complete,free_agent,1696140073563,4,[],561715408029736960,1014088604894715904,[2],[2],1696140073563,[],,,,,,,,,,,,,2.0,,,,,
complete,free_agent,1696140069153,4,[],561715408029736960,1014088586397835264,[2],[2],1696140069153,[],,,,,,,,,,,,,,2.0,,,,
complete,free_agent,1696084710608,4,[],741144911407095808,1013856395831103488,[12],[12],1696084710608,[],,,,,,,,,,,,,,,12.0,12.0,,
complete,free_agent,1695821194857,4,[],741144911407095808,1012751130662629376,[12],[12],1695821194857,[],,,,,,,,,,,,,,,,,,12.0
