roster_id,matchup_id,starters,players
1,1,"['9758', '4866', '7564', '1426', '8130', '2374', '5892', '957', '6214', '6788', '5726']","['1426', '2374', '2505', '4037', '4866', '5726', '5892', '6214', '6788', '6790', '7523', '7564', '8130', '8134', '957', '9753', '9758']"
2,1,"['8162', '8155', '4981', '9488', '4033', '9221', '7611', '5816', '2389', '4971', '6119']","['2389', '4033', '4171', '4971', '4981', '5816', '5862', '5995', '6119', '7611', '8148', '8155', '8162', '9221', '9488', '9501']"
3,6,"['3163', '5850', '2133', '1689', '4066', '6819', '5848', '4070', '5332', '7044', '1875']","['1689', '1875', '2133', '3163', '3233', '4046', '4066', '4070', '5015', '5332', '5848', '5850', '6819', '6826', '7044', '8146', '8205']"
4,3,"['4892', '3198', '4234', '5045', '8111', '5947', '4111', '8343', '7651', '8323', '4118']","['1466', '3198', '4039', '4111', '4118', '421', '4234', '4454', '4892', '5045', '5947', '7569', '7591', '7651', '8111', '8323', '8343', '9226', '9229']"
5,4,"['8183', '4034', '2309', '5937', '5012', '4199', '8154', '2393', '5944', '7136', '6880']","['1373', '2309', '2393', '3199', '4034', '4199', '5012', '5248', '5937', '5944', '6794', '6880', '7136', '7594', '8154', '8183', '9500']"
6,4,"['6797', '9509', '3225', '2449', '4144', '4098', '7543', '4135', '5041', '4427', '1192']","['1192', '2449', '3225', '4098', '4135', '4144', '4217', '4427', '5041', '5346', '5987', '6797', '7066', '7543', '8132', '9509']"
7,2,"['4881', '4663', '6786', '6803', '5844', '4137', '4983', '3256', '5894', '7662', '4990']","['2749', '3256', '4063', '4137', '4663', '4881', '4983', '4990', '5844', '5894', '6786', '6803', '7662', '8143', '8266', '9493', '9508']"
8,2,"['4984', '8151', '5872', '6943', '10236', '4018', '7588', '8289', '3276', '7816', '7647']","['10229', '10236', '3276', '4018', '4984', '5859', '5872', '6943', '6958', '7588', '7608', '7647', '7816', '8110', '8151', '8289', '9999']"
9,3,"['3294', '6813', '2216', '9756', '4381', '4950', '6845', '7640', '4960', '8314', '7811']","['2216', '2227', '3294', '4381', '4950', '4960', '5056', '6130', '6768', '6813', '6845', '7600', '7640', '7670', '7811', '8314', '9756']"
10,6,"['4179', '8136', '1479', '5927', '10859', '8112', '5846', '5912', '1233', '7715', '6807']","['10859', '1233', '1479', '3321', '4179', '5846', '5912', '5927', '6801', '6807', '6904', '7561', '7715', '8112', '8136', '8228']"
11,5,"['2028', '4035', '9997', '8121', '7553', '5967', '7528', '5991', '5960', '1343', '6485']","['1234', '1343', '2028', '4017', '4035', '5960', '5967', '5991', '6151', '6220', '6485', '7525', '7526', '7528', '7553', '8121', '9997']"
12,5,"['6770', '8138', '7547', '8144', '5001', '9502', '8119', '3973', '5580', '4081', '5348']","['3973', '4081', '5001', '5022', '5348', '5580', '5849', '6770', '6783', '7547', '8119', '8129', '8137', '8138', '8144', '8150', '8167', '9502', '9511']"
