draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.years_exp
993378040933564417,3,,39,862881247247052800,3198,,4,4,41,Derrick,,Henry,1693151420832,22,3198,RB,3,nfl,Active,TEN,7
993378040933564417,7,,40,561747196680642560,5012,,5,4,30,Mark,Questionable,Andrews,1693277157687,89,5012,TE,7,nfl,Active,BAL,5
993378040933564417,12,,41,830975786608619520,4018,,8,4,28,Joe,,Mixon,1692899739378,28,4018,RB,12,nfl,Active,CIN,6
993378040933564417,1,,42,862499213718704128,7528,,11,4,30,Najee,,Harris,1692922855204,22,7528,RB,1,nfl,Active,PIT,2
993378040933564417,11,,43,561715408029736960,5846,,10,4,25,DK,,Metcalf,1691780459059,14,5846,WR,11,nfl,Active,SEA,4
993378040933564417,12,,44,830975786608619520,5872,,8,4,21,Deebo,,Samuel,1693078213856,19,5872,WR,12,nfl,Active,SF,4
993378040933564417,8,,45,578293895956312064,9221,,2,4,34,Jahmyr,,Gibbs,1692463504220,26,9221,RB,8,nfl,Active,DET,0
993378040933564417,12,,46,830975786608619520,10236,,8,4,6,Dalton,,Kincaid,1693081513571,86,10236,TE,12,nfl,Active,BUF,0
993378040933564417,6,,47,595464158774878208,5844,,7,4,18,T.J.,Questionable,Hockenson,1692843926606,87,5844,TE,6,nfl,Active,MIN,4
993378040933564417,4,,48,740751073198948352,8129,,12,4,26,Dameon,,Pierce,1693195543845,31,8129,RB,4,nfl,Active,HOU,1
993378040933564417,8,,49,578293895956312064,7611,,2,5,30,Rhamondre,,Stevenson,1692509412506,38,7611,RB,8,nfl,Active,NE,2
993378040933564417,8,,50,578293895956312064,6806,,2,5,24,J.K.,,Dobbins,1692864628067,27,6806,RB,8,nfl,Active,BAL,3
993378040933564417,11,,51,561715408029736960,8112,,10,5,11,Drake,,London,1692415257702,5,8112,WR,11,nfl,Active,ATL,1
993378040933564417,11,,52,561715408029736960,5927,,10,5,12,Terry,Questionable,McLaurin,1693152020987,17,5927,WR,11,nfl,Active,WAS,4
993378040933564417,4,,53,740751073198948352,5022,,12,5,12,Dallas,,Goedert,1693064111010,88,5022,TE,4,nfl,Active,PHI,5
993378040933564417,8,,54,578293895956312064,4981,,2,5,24,Calvin,,Ridley,1693218645675,0,4981,WR,8,nfl,Active,JAX,5
993378040933564417,1,,55,862499213718704128,4017,,11,5,10,Deshaun,,Watson,1693338005926,4,4017,QB,1,nfl,Active,CLE,6
993378040933564417,5,,56,861798755085692928,7640,,9,5,9,Micah,,Parsons,1692211222994,11,7640,LB,5,nfl,Active,DAL,2
993378040933564417,6,,57,595464158774878208,4983,,7,5,20,DJ,,Moore,1693095014588,2,4983,WR,6,nfl,Active,CHI,5
993378040933564417,2,,58,451807541647634432,6790,,1,5,10,D'Andre,,Swift,1692709540080,0,6790,RB,2,nfl,Active,PHI,3
