status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,adds_8676,drops_5045,adds_1373,drops_4464,adds,drops_843
complete,free_agent,,1703884511601,,17,[],862881247247052800,1046571132335247360,[4],[4],1703884511601,[],4.0,4.0,,,,
complete,free_agent,,1703793429418,,17,[],741144911407095808,1046189105970761728,[6],[6],1703793429418,[],,,6.0,6.0,,
complete,free_agent,,1703712199756,,17,[],595464158774878208,1045848404074516480,[7],[7],1703712199756,[],,,,,,7.0
