roster_id,matchup_id,starters,players
1,4,"['7523', '4866', '2374', '4037', '2505', '6945', '6790', '3172', '5726', '6888', '7648']","['1426', '2374', '2505', '3172', '4037', '4866', '5726', '5892', '6214', '6790', '6888', '6945', '7523', '7564', '7648', '8126']"
2,1,"['1166', '9221', '4981', '8148', '3271', '9488', '7611', '5816', '2389', '4971', '6119']","['1166', '2389', '3271', '4171', '4971', '4981', '5816', '5862', '5995', '6119', '7611', '8148', '8155', '9221', '9222', '9488']"
3,1,"['4046', '5850', '2133', '5848', '4066', '6819', '8205', '8280', '5332', '7044', '4070']","['1689', '1875', '2133', '4046', '4066', '4070', '4082', '5015', '5332', '5848', '5850', '6819', '6826', '7044', '8146', '8205', '8280']"
4,3,"['421', '4111', '4454', '4039', '1466', '5947', '5045', '6120', '2617', '4963', '8311']","['1466', '2617', '3198', '4039', '4111', '421', '4454', '4963', '5045', '5185', '5947', '6120', '7569', '7591', '7596', '8311', '9226', '9229']"
5,4,"['8183', '4034', '2309', '3199', '5012', '8154', '9500', '2393', '5944', '7136', '6220']","['1373', '2309', '2393', '3199', '4034', '4149', '4199', '5012', '5248', '5284', '5937', '5944', '6220', '6794', '6880', '7136', '8154', '8183', '9500']"
6,6,"['6797', '9509', '7066', '2449', '4217', '7543', '4098', '7765', '5041', '7666', '5346']","['2449', '4098', '4144', '4217', '5041', '5346', '5987', '6797', '6804', '7066', '7543', '7666', '7765', '8132', '9502', '9509']"
7,2,"['4881', '4663', '6803', '9493', '5844', '4983', '2749', '3256', '8266', '7117', '4990']","['2749', '3256', '4137', '4663', '4881', '4983', '4990', '5334', '5844', '5916', '6786', '6803', '7117', '8143', '8266', '9493', '9508']"
8,3,"['4984', '8151', '5859', '6943', '10236', '5046', '7588', '8289', '4968', '6947', '4118']","['10229', '10236', '3163', '4018', '4118', '4968', '4984', '5046', '5859', '5872', '6943', '6947', '7588', '7608', '8110', '8151', '8289']"
9,5,"['6768', '6813', '7670', '9756', '7600', '2216', '4950', '2227', '4960', '7811', '5056']","['2197', '2216', '2227', '3294', '4950', '4960', '5056', '6768', '6813', '6845', '7600', '7640', '7670', '7811', '8408', '9756']"
10,5,"['6904', '8136', '3321', '5927', '10859', '8112', '1479', '5840', '1233', '1343', '6807']","['10859', '1233', '1343', '1479', '3321', '4029', '5840', '5846', '5927', '6801', '6807', '6904', '7561', '8112', '8136', '8228']"
11,6,"['8162', '4035', '7526', '7525', '7553', '8121', '9997', '5991', '5960', '4223', '6065']","['1234', '4017', '4035', '4223', '5960', '5967', '5991', '6065', '6151', '7525', '7526', '7528', '7553', '8121', '8162', '9758', '9997']"
12,2,"['4892', '8138', '7547', '8144', '5022', '8167', '8137', '3973', '5348', '8339', '7113']","['10235', '3973', '4081', '4892', '5022', '5348', '5580', '6770', '6783', '7113', '7547', '8129', '8137', '8138', '8144', '8150', '8167', '8339']"
