co_owners,keepers,league_id,owner_id,player_map,players,reserve,roster_id,starters,taxi,metadata_record,metadata_streak,settings_fpts,settings_fpts_against,settings_fpts_against_decimal,settings_fpts_decimal,settings_losses,settings_ppts,settings_ppts_decimal,settings_ties,settings_total_moves,settings_waiver_budget_used,settings_waiver_position,settings_wins,metadata_allow_pn_inactive_starters,metadata_allow_pn_player_injury_status,metadata_allow_pn_scoring,metadata_p_nick_1049,metadata_p_nick_1352,metadata_p_nick_1535,metadata_p_nick_1689,metadata_p_nick_2216,metadata_p_nick_2320,metadata_p_nick_4017,metadata_p_nick_4098,metadata_p_nick_5857,metadata_p_nick_5890,metadata_p_nick_6813,metadata_restrict_pn_scoring_starters_only,metadata_p_nick_1166,metadata_p_nick_4034,metadata_p_nick_4081,metadata_p_nick_4983,metadata_p_nick_5012,metadata_p_nick_5056,metadata_p_nick_5862,metadata_p_nick_5955,metadata_p_nick_6955,metadata_p_nick_7547,metadata_p_nick_7591,metadata_p_nick_7651,metadata_p_nick_8119,metadata_p_nick_8132,metadata_p_nick_8146,metadata_p_nick_8154
,,993378040933564416,451807541647634432,,"['1426', '2374', '2505', '3164', '4037', '4866', '5726', '5892', '6119', '6790', '6901', '7342', '7523', '7564', '8130', '9758']",,1,"['9758', '4866', '4037', '1426', '8130', '5892', '6790', '7342', '5726', '6901', '6119']",,LWLWWLLWLLWWLW,1W,1862,1834,24,28,7,2057,62,0,0,100,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,578293895956312064,,"['2078', '4033', '4971', '4981', '5816', '5862', '5995', '6056', '6807', '7611', '7648', '8148', '8155', '8162', '9221', '9488']",,2,"['8162', '8155', '4981', '9488', '4033', '9221', '2078', '5816', '6056', '4971', '7648']",,WLLLWLLLLWWWLW,1W,1683,1854,46,54,8,1789,14,0,0,64,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,862559746694205440,,"['1689', '1875', '2133', '3163', '3233', '4046', '4066', '4070', '5332', '5848', '5850', '6819', '6826', '6945', '8146', '8205']",,3,"['4046', '8205', '2133', '8146', '4066', '5850', '6819', '4070', '5332', '3233', '1875']",,WLLWLLWLWLWWWW,4W,1875,1829,94,24,6,2079,68,0,0,22,3,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,862881247247052800,,"['1466', '2617', '3198', '4039', '4111', '421', '4234', '4454', '5580', '5947', '6120', '7569', '7591', '7816', '8129', '8676', '9226', '9229']","['4454', '9229']",4,"['7591', '3198', '4039', '7569', '1466', '9226', '4234', '6120', '5580', '7816', '2617']",,LWLWLWWLLLWWWL,1L,1878,1772,96,74,7,2083,46,0,0,50,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,561747196680642560,,"['10905', '2197', '2309', '2393', '4034', '4199', '5001', '5012', '5248', '5937', '5944', '6794', '6880', '7136', '8154', '8183', '9500']",['5012'],5,"['8183', '4034', '6794', '2197', '5001', '4199', '5248', '2393', '5944', '7136', '6880']",,WLWWLWWWWWWLLL,3L,1997,1730,36,40,5,2181,86,0,0,61,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,741144911407095808,,"['10222', '1373', '19', '2449', '4098', '4217', '4427', '4967', '5041', '5346', '5987', '6797', '7543', '8139', '8142', '8311', '9509']",['6797'],6,"['19', '7543', '2449', '10222', '4217', '8139', '4098', '4967', '5041', '4427', '5346']",,WWWLLLWLWLLLLL,5L,1813,1899,4,84,9,1967,88,0,0,28,10,5,on,on,on,Dave,,TBD,White Lightning ⚡,Ol' Reliable ,Fisherman,Happy Ending ,Punt,Ark,TBD,JTT,on,,,,,,,,,,,,,,,,
,,993378040933564416,595464158774878208,,"['2749', '4063', '4137', '4180', '4381', '4663', '4881', '4983', '4990', '5844', '6786', '6803', '7811', '8143', '8266', '9493']","['5844', '7811']",7,"['4881', '4663', '6786', '6803', '4381', '4137', '9493', '4063', '8266', '4180', '4990']",,LWWWWWLLWWLLWW,2W,1889,1904,0,70,5,2173,20,0,0,100,1,9,,,off,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,830975786608619520,,"['10229', '10236', '10880', '3276', '4018', '4892', '4984', '5859', '5872', '6943', '7117', '7588', '7608', '8110', '8151', '8289']",,8,"['4984', '7588', '5872', '5859', '8110', '4018', '8151', '8289', '3276', '7117', '10880']",,WLWLWLLWWLLLLW,1W,1837,2004,38,16,8,1988,16,0,0,15,2,6,,,,,,,,,,,,,,,,Kissin’,Born Again,Belly,Funky Music,Julie,Dozen Donuts,Mister,The Gatherer,Family Tree House,Walks Into a Bar,Strawberry,The Lawn,Circle Boy,The Creator,The Volleyball,Swiss Family
,,993378040933564416,861798755085692928,,"['2216', '2227', '3294', '4147', '4950', '4960', '5334', '6130', '6768', '6813', '6845', '6963', '7600', '7640', '7670', '8314', '9756']",['4950'],9,"['3294', '6813', '2216', '9756', '7600', '6130', '7670', '7640', '4960', '8314', '5334']",,LWWWLLWLLWLWLL,2L,1788,1797,34,94,8,2007,92,0,0,19,4,6,,,on,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,993378040933564416,561715408029736960,,"['10859', '1233', '1479', '2036', '3321', '4179', '5846', '5927', '6485', '6801', '6888', '6904', '7561', '8112', '8136', '8228']",,10,"['6904', '8228', '5846', '3321', '10859', '5927', '8136', '2036', '1233', '6888', '6485']",,WWWLWWLWWWWWWL,1L,2126,1950,74,94,3,2278,14,0,0,0,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
