status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8195,drops_8117,metadata,settings,adds_8208,drops_9480
complete,waiver,1727847815020,4,[],451807541647634432,1147080511719038976,[1],[1],1727878119467,[],Your waiver claim was processed successfully!,0.0,2.0,1.0,1.0,,,,
complete,free_agent,1727297837948,4,[],561747196680642560,1144773740685832192,[5],[5],1727297837948,[],,,,,,,,5.0,5.0
