roster_id,matchup_id,starters,players
1,1,"['4892', '9221', '5892', '7547', '9493', '1466', '5859', '4866', '4574']","['10226', '11564', '11574', '11586', '11635', '1166', '1426', '1466', '3357', '4037', '4574', '4866', '4892', '5086', '5859', '5892', '6011', '6826', '7547', '7588', '7593', '8143', '9221', '9493', '9500', '9758']"
2,6,"['5849', '7594', '11583', '7090', '6794', '8111', '8228', '9486', '2374']","['11439', '11575', '11583', '11592', '11610', '11748', '2374', '4234', '4881', '5849', '6794', '7090', '7594', '8111', '8131', '8154', '8228', '8676', '9486', '9497', '9504', '9511']"
3,5,"['6804', '11584', '9226', '2133', '5947', '8130', '8138', '9224', '1234']","['11584', '1234', '2133', '5022', '5854', '5947', '6804', '6819', '6845', '6963', '7528', '7591', '7611', '8121', '8130', '8137', '8138', '8139', '8159', '8160', '8162', '9224', '9226', '9501']"
4,2,"['4984', '6790', '7543', '9488', '6786', '4144', '8112', '7553', '4943']","['10236', '11292', '11599', '11618', '19', '3286', '4046', '4098', '4144', '4147', '4943', '4972', '4984', '6149', '6786', '6790', '6803', '6820', '6828', '7543', '7553', '7561', '7569', '8112', '8151', '8180', '9488']"
5,3,"['2028', '4988', '11589', '7049', '7525', '4217', '4981', '6783', '10866']","['10235', '10866', '11563', '11581', '11589', '11620', '11621', '11629', '11640', '11643', '11645', '11834', '2028', '2078', '4217', '4981', '4988', '6783', '7049', '7523', '7525', '8117', '8208', '8230', '9481', '9484', '9756', '9757']"
6,5,"['6904', '5967', '9753', '8146', '11632', '11604', '6801', '11628', '421']","['10213', '11559', '11604', '11628', '11632', '4033', '421', '5010', '5848', '5927', '5967', '6801', '6813', '6904', '7571', '7596', '8136', '8146', '8155', '8207', '8210', '96', '9753', '9754']"
7,6,"['6797', '9505', '7608', '10222', '9492', '8110', '9502', '11637', '9228']","['10222', '11560', '11596', '11619', '11627', '11637', '11650', '11651', '5012', '6797', '7608', '8110', '8144', '9228', '9482', '9492', '9502', '9505']"
8,3,"['0', '5248', '11435', '11626', '2309', '7002', '11638', '8134', '8167']","['11435', '11562', '11565', '11567', '11579', '11582', '11625', '11626', '11630', '11638', '2309', '4017', '4080', '4663', '4950', '5001', '5248', '5995', '6806', '6824', '6847', '7002', '7083', '7562', '8119', '8134', '8167', '9997']"
9,4,"['3163', '4137', '8150', '4983', '1479', '10859', '4035', '7526', '2306']","['10232', '10859', '11600', '11624', '11636', '11647', '1479', '2306', '3163', '4035', '4111', '4137', '4149', '4381', '4983', '5857', '6938', '6945', '7526', '8125', '8150', '8161', '9487', '9494', '9506', '9999']"
10,4,"['6770', '9509', '11655', '3321', '5846', '5844', '11576', '11631', '7021']","['10216', '10444', '10871', '11557', '11566', '11576', '11617', '11631', '11655', '1339', '2449', '3321', '4082', '5844', '5846', '5870', '6770', '7021', '7496', '7527', '7670', '8126', '8129', '8132', '9479', '9508', '9509']"
11,1,"['6768', '5850', '8205', '8148', '4039', '7600', '5872', '2197', '7564']","['10228', '10863', '11573', '11577', '2197', '3198', '3214', '4039', '4454', '5045', '5850', '5872', '5987', '6768', '7564', '7600', '8148', '8183', '8205', '8221', '9225']"
12,2,"['1373', '4199', '3164', '2216', '1689', '4066', '2749', '4068', '10225']","['10225', '10229', '10857', '11597', '11616', '1373', '1689', '2216', '2381', '2749', '3164', '3294', '4018', '4029', '4034', '4066', '4068', '4199', '5284', '6943', '7066', '8116', '8142', '8408', '9227', '9229', '9998']"
