status,type,created,leg,draft_picks,creator,transaction_id,consenter_ids,roster_ids,status_updated,waiver_budget,metadata_notes,settings_seq,settings_waiver_bid,adds_8117,drops_6694,adds_4040,drops_8195,drops,metadata,settings,adds_8207,adds_5133
complete,waiver,1728456006305,5,[],561747196680642560,1149631450858352640,[5],[5],1728482897155,[],Your waiver claim was processed successfully!,0.0,20.0,5.0,5.0,,,,,,,
complete,waiver,1728446849720,5,[],451807541647634432,1149593045357223936,[1],[1],1728482897155,[],Your waiver claim was processed successfully!,1.0,18.0,,,1.0,1.0,,,,,
failed,waiver,1728446813373,5,[],451807541647634432,1149592892906885120,[1],[1],1728482897155,[],This player was claimed by another owner.,3.0,14.0,1.0,,,1.0,,,,,
failed,waiver,1728445907973,5,[],548317142968336384,1149589095384137728,[7],[7],1728482897155,[],This player was claimed by another owner.,2.0,14.0,,,7.0,,,,,,
complete,free_agent,1728151126116,5,[],558483388996636672,1148352690661986304,[6],[6],1728151126116,[],,,,,,,,,,,6.0,
complete,free_agent,1727971689377,5,[],472136033526345728,1147600078429851648,[3],[3],1727971689377,[],,,,,,,,,,,,3.0
