roster_id,matchup_id,starters,players
1,1,"['4892', '9221', '4866', '7547', '5859', '1466', '5892', '9493', '9758']","['10226', '11564', '11574', '11586', '11635', '1166', '1426', '1466', '3357', '4037', '4574', '4866', '4892', '5859', '5892', '6011', '6826', '7547', '7588', '7593', '8143', '9221', '9493', '9500', '9758']"
2,5,"['4881', '7594', '8154', '2374', '6794', '8111', '8228', '4234', '5849']","['11439', '11575', '11583', '11592', '11610', '11748', '2374', '4234', '4881', '5849', '6794', '7090', '7594', '8111', '8131', '8154', '8228', '8676', '9486', '9497', '9504', '9511']"
3,5,"['6804', '11584', '9226', '8137', '5947', '8130', '7528', '7611', '1234']","['11584', '1234', '2133', '5022', '5854', '5947', '6804', '6819', '6845', '7528', '7591', '7611', '8121', '8130', '8137', '8138', '8139', '8159', '8160', '8162', '9224', '9226', '9501']"
4,1,"['4046', '8151', '6790', '7569', '6786', '4144', '9488', '4098', '11292']","['10236', '11292', '11599', '11618', '19', '3286', '4046', '4098', '4144', '4147', '4171', '4972', '4984', '5970', '6149', '6786', '6790', '6803', '6820', '6828', '7543', '7553', '7561', '7569', '8112', '8151', '8180', '9488']"
5,4,"['11563', '4988', '11589', '7049', '11620', '4217', '4981', '6783', '9756']","['10235', '10866', '11563', '11581', '11589', '11620', '11621', '11629', '11640', '11643', '11645', '11834', '2028', '2078', '4217', '4981', '4988', '6783', '7049', '7523', '7525', '8117', '8208', '8230', '9481', '9484', '9756', '9757']"
6,6,"['6904', '8136', '6813', '11628', '11632', '11604', '5927', '5967', '421']","['10213', '11559', '11604', '11628', '11632', '4033', '421', '5010', '5848', '5927', '5967', '6801', '6813', '6904', '7571', '7596', '8136', '8146', '8155', '8207', '8210', '96', '9753', '9754']"
7,6,"['4943', '0', '7608', '10222', '9492', '5012', '9502', '0', '6797']","['10222', '11560', '11596', '11619', '11627', '11637', '11650', '11651', '4943', '5012', '5185', '6797', '7608', '8110', '8144', '9228', '9482', '9492', '9502', '9505']"
8,3,"['0', '6806', '4663', '11626', '11625', '5001', '9997', '11638', '8167']","['11435', '11562', '11565', '11567', '11579', '11582', '11625', '11626', '11630', '11638', '2309', '4017', '4080', '4663', '4950', '5001', '5248', '5995', '6806', '6824', '6847', '7002', '7083', '7562', '8119', '8134', '8167', '9997']"
9,4,"['2306', '4137', '8150', '4983', '7526', '10859', '11624', '1479', '3163']","['10232', '10859', '11600', '11624', '11636', '11647', '1479', '2306', '3163', '4035', '4111', '4137', '4149', '4381', '4983', '5857', '6938', '6945', '7526', '8150', '8161', '8172', '9494', '9506', '9999']"
10,3,"['11566', '11655', '7021', '3321', '10444', '5844', '7496', '5846', '8126']","['10216', '10444', '10871', '11557', '11566', '11576', '11617', '11631', '11655', '1339', '2449', '3257', '3321', '4082', '5844', '5846', '5870', '6770', '7021', '7496', '7610', '7670', '8126', '8129', '9479', '9508', '9509']"
11,2,"['6768', '5850', '3198', '5045', '4039', '3214', '5872', '4454', '8148']","['10228', '10863', '11573', '11577', '2197', '3198', '3214', '4039', '4454', '5045', '5850', '5872', '5987', '6768', '7564', '7600', '8148', '8183', '8205', '8221', '9225']"
12,2,"['1373', '4199', '4018', '2216', '8142', '11597', '4034', '1689', '9229']","['10225', '10229', '10857', '11597', '11616', '1373', '1689', '2216', '2381', '2749', '3164', '3294', '4018', '4029', '4034', '4066', '4068', '4199', '5284', '6943', '7066', '8116', '8142', '8408', '9227', '9229', '9998']"
