status,type,metadata,created,settings,leg,draft_picks,creator,transaction_id,consenter_ids,drops,roster_ids,status_updated,waiver_budget,adds_5985,adds,drops_8207,adds_2359,drops_2306,drops_8210,adds_11646,adds_11729,adds_10862,adds_9480
complete,free_agent,,1734891864181,,16,[],561715408029736960,1176625395290947584,[2],,[2],1734891864181,[],2.0,,,,,,,,,
complete,free_agent,,1734821609989,,16,[],558483388996636672,1176330727852425216,[6],,[6],1734821609989,[],,,6.0,,,,,,,
complete,free_agent,,1734760630689,,16,[],595331324689047552,1176074962130518016,[9],,[9],1734760630689,[],,,,9.0,9.0,,,,,
complete,free_agent,,1734657042032,,16,[],558483388996636672,1175640479812104192,[6],,[6],1734657042032,[],,,,,,6.0,,,,
complete,free_agent,,1734558797793,,16,[],548317142968336384,1175228413607485440,[7],,[7],1734558797793,[],,,,,,,7.0,,,
complete,free_agent,,1734558789702,,16,[],548317142968336384,1175228379671371776,[7],,[7],1734558789702,[],,,,,,,,7.0,,
complete,free_agent,,1734558781405,,16,[],548317142968336384,1175228344871231488,[7],,[7],1734558781405,[],,,,,,,,,7.0,
complete,free_agent,,1734558487784,,16,[],451807541647634432,1175227113335496704,[1],,[1],1734558487784,[],,,,,,,,,,1.0
