roster_id,matchup_id,starters,players
1,6,"['4046', '7537', '7588', '2309', '7547', '5985', '6074', '6960', '7538']","['2307', '2309', '4046', '4082', '4147', '4602', '4943', '5248', '5859', '5985', '6074', '6126', '6136', '6806', '6824', '6895', '6918', '6960', '7537', '7538', '7540', '7547', '7565', '7588', '7606', '7720']"
2,3,"['96', '5892', '5987', '5872', '6803', '4089', '3225', '5185', '138']","['138', '2251', '3225', '3327', '4029', '4089', '4531', '4881', '5026', '5185', '5872', '5892', '5980', '5987', '6803', '6814', '6828', '6931', '6984', '7530', '7561', '7574', '7595', '947', '96']"
3,2,"['167', '6151', '7528', '5927', '6794', '5022', '6955', '5955', '1166']","['1166', '167', '184', '3297', '3969', '4036', '4219', '4273', '4951', '4972', '5022', '5038', '5089', '5844', '5927', '5955', '6148', '6151', '6794', '6798', '6804', '6955', '7045', '7088', '7090', '7528', '7539', '7593', '7794', '7891']"
4,5,"['6797', '4199', '6945', '2133', '6853', '1339', '6790', '4950', '3294']","['1339', '1817', '1848', '2133', '2216', '3202', '3294', '3634', '4066', '4199', '4950', '5086', '5220', '5549', '6768', '6783', '6790', '6797', '6805', '6826', '6845', '6853', '6943', '6945', '7533', '7569']"
5,2,"['421', '4988', '3164', '7525', '5937', '4217', '4985', '2078', '1837']","['1067', '1837', '2078', '2306', '3164', '3209', '3423', '421', '4217', '4435', '4981', '4985', '4988', '5122', '5917', '5937', '5967', '6011', '6039', '6989', '7525', '7572', '7591', '7594', '7601']"
6,6,"['7523', '5131', '3594', '538', '7571', '4323', '536', '3214', '7527']","['2197', '2325', '3214', '3594', '3803', '4017', '4034', '4319', '4323', '4949', '5131', '536', '538', '7523', '7527', '7554', '7571', '7587', '7596', '829']"
7,3,"['6904', '4866', '4018', '6819', '6801', '7553', '4111', '2374', '2711']","['1034', '1992', '2257', '2374', '2505', '2711', '3199', '3242', '333', '4018', '4098', '4111', '4137', '4157', '4741', '4866', '5170', '6130', '6694', '6801', '6819', '6885', '6886', '6904', '7496', '7543', '7553', '7581', '7585', '827', '830']"
8,1,"['5849', '5347', '5850', '1479', '5848', '367', '2319', '6659', '954']","['1144', '1408', '1466', '1479', '1833', '2152', '2319', '2378', '2549', '3664', '367', '4068', '4335', '5347', '5848', '5849', '5850', '6271', '6659', '6789', '7535', '7567', '7608', '7612', '943', '954']"
9,1,"['1234', '5284', '4035', '4983', '6786', '515', '7526', '1535', '2028']","['1234', '1476', '1535', '1689', '1825', '2028', '2391', '260', '2749', '3157', '3163', '4035', '4037', '4144', '4149', '4983', '5001', '515', '5284', '5916', '5947', '6786', '6870', '6938', '7066', '7526', '7568', '7828', '7944', '956']"
10,4,"['6770', '6820', '6813', '5110', '2449', '4993', '7607', '5890', '5854']","['1352', '2431', '2449', '2476', '3200', '4131', '4571', '4993', '5045', '5110', '5536', '5845', '5854', '5870', '5890', '6770', '6813', '6820', '6849', '6869', '7607', '7610', '7611', '7670', '928']"
11,4,"['4381', '4962', '2168', '7564', '5846', '5012', '5000', '4039', '1049']","['1049', '1379', '1426', '2168', '24', '2460', '3198', '3306', '4039', '4381', '4454', '4455', '4892', '4962', '5000', '5012', '5121', '5846', '5906', '6149', '6996', '7564', '7589', '7600', '7605', '7694']"
12,5,"['4984', '4663', '2320', '2410', '3321', '5857', '2382', '5052', '3161']","['2320', '2359', '2382', '2410', '3161', '3286', '3321', '4040', '4054', '4150', '4663', '4973', '4984', '5052', '5113', '5857', '5880', '6012', '6156', '6973', '7529', '7562', '7563', '7599']"
