roster_id,matchup_id,starters,players
1,6,"['7538', '6151', '2309', '6943', '4602', '2197', '1992', '5816', '4960', '1213', '5346']","['1213', '1426', '1992', '2197', '2309', '3303', '4035', '4602', '4960', '5346', '5816', '5870', '6151', '6806', '6943', '7538']"
2,6,"['5849', '3198', '2449', '3321', '4089', '5110', '4149', '5991', '6056', '7641', '8329']","['2353', '2449', '3198', '3321', '4089', '4149', '5110', '5849', '5916', '5991', '6056', '7600', '7641', '8211', '8265', '8329']"
3,5,"['6904', '1387', '6794', '8135', '2505', '6820', '5086', '6120', '5960', '5882', '6220']","['1387', '24', '2505', '3156', '3262', '5086', '5882', '5960', '6120', '6220', '6794', '6820', '6845', '6904', '7561', '8135', '8136', '8137', '8138']"
4,1,"['3161', '7528', '4234', '7670', '7553', '1352', '3164', '4063', '2389', '6788', '3230']","['1343', '1352', '2319', '2389', '3161', '3164', '3230', '4063', '4131', '4234', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '947']"
5,8,"['96', '4029', '7564', '6819', '4973', '5848', '6803', '843', '1052', '4427', '5056']","['1052', '4029', '4033', '4427', '4973', '4985', '5056', '5347', '5848', '5987', '6768', '6803', '6819', '7564', '843', '96']"
6,5,"['1049', '6813', '2216', '1689', '5133', '2320', '1535', '957', '3276', '7811', '7012']","['1049', '1535', '1689', '2216', '2320', '3199', '3276', '4098', '4177', '4574', '5133', '5890', '6813', '7012', '7811', '957']"
7,8,"['1234', '3969', '2133', '2374', '1466', '6938', '4082', '5840', '1192', '3233', '4968']","['1192', '1234', '1466', '2133', '2374', '2749', '3233', '3664', '3969', '4082', '4197', '4968', '5840', '6938', '6951', '8151']"
8,3,"['1166', '6955', '4171', '8146', '5012', '4983', '4034', '5862', '6141', '4081', '3166']","['1166', '2750', '3166', '4034', '4080', '4081', '4171', '4983', '5012', '5862', '5955', '6141', '6955', '7547', '7591', '8119', '8132', '8146', '8154']"
9,4,"['4984', '4018', '7596', '3225', '5844', '4036', '5038', '5015', '6880', '7662', '6949']","['1875', '2350', '3225', '4018', '4036', '4951', '4984', '4993', '5015', '5038', '5844', '6770', '6880', '6949', '7596', '7662']"
10,2,"['421', '7588', '6786', '5859', '6126', '4988', '7525', '6125', '5332', '7823', '5928']","['4055', '421', '4988', '5332', '5859', '5928', '6125', '6126', '6786', '7525', '7588', '7823', '8117', '8118', '8126', '8142']"
11,4,"['2307', '4663', '5872', '5937', '5906', '7608', '5970', '7627', '4118', '5520', '4978']","['2307', '3294', '4118', '4381', '4663', '4978', '5520', '5872', '5892', '5906', '5937', '5947', '5970', '7608', '7627', '8121']"
12,3,"['4881', '6828', '7526', '5927', '1339', '4037', '8144', '871', '1905', '3160', '7648']","['1339', '1905', '2064', '2393', '3160', '3271', '4037', '4881', '5927', '6781', '6782', '6797', '6828', '7526', '7648', '8144', '871']"
13,7,"['4046', '4199', '6801', '5846', '4217', '7611', '956', '7640', '6119', '4971', '7113']","['3163', '3202', '4046', '4199', '4217', '4971', '5041', '5846', '6119', '6801', '6847', '7113', '7611', '7640', '8314', '956']"
14,1,"['7523', '4866', '4039', '5045', '2251', '5850', '8112', '1999', '6807', '4091', '7647']","['1999', '2251', '4039', '4040', '4091', '4455', '4866', '5045', '5284', '5850', '6807', '7523', '7527', '7607', '7647', '8112']"
15,7,"['2028', '6945', '6783', '4068', '5001', '4137', '8155', '2227', '7016', '4963', '5944']","['2028', '2036', '2227', '4066', '4068', '4070', '4137', '4963', '5001', '5944', '5967', '6130', '6783', '6886', '6945', '7016', '8155']"
16,2,"['167', '8129', '7571', '4950', '5022', '5185', '5000', '2592', '1233', '6888', '4990']","['1233', '1479', '167', '2306', '2592', '3973', '4950', '4990', '5000', '5022', '5137', '5185', '6888', '7090', '7543', '7571', '8129']"
