roster_id,matchup_id,starters,players
1,8,"['5870', '4035', '2309', '6943', '4602', '6151', '6806', '6124', '4960', '6911', '5346']","['1426', '1992', '2197', '2309', '4035', '4602', '4960', '5346', '5870', '6124', '6151', '6806', '6911', '6943', '7538', '8150']"
2,4,"['5849', '5916', '2449', '3321', '4089', '6824', '5110', '8265', '6056', '7641', '8329']","['2449', '3198', '3321', '4089', '4149', '5110', '5849', '5916', '5991', '6056', '6824', '7600', '7641', '8211', '8265', '8329']"
3,7,"['6904', '5170', '6794', '8137', '2214', '6820', '5086', '6120', '5960', '544', '6220']","['1476', '2078', '2161', '2214', '2378', '2505', '3156', '5086', '5170', '544', '5928', '5960', '6120', '6220', '6794', '6820', '6904', '7561', '8135', '8136', '8137']"
4,1,"['3161', '7528', '2319', '7670', '7553', '5209', '3164', '4063', '2389', '6788', '3230']","['1343', '1352', '2319', '2389', '3161', '3164', '3230', '4063', '5209', '6788', '6790', '7528', '7553', '7610', '7670', '8111', '8148', '947']"
5,7,"['96', '4029', '7564', '6819', '4033', '5848', '6803', '843', '1052', '5017', '5056']","['1052', '4029', '4033', '4381', '4973', '5017', '5056', '5347', '5848', '5987', '6768', '6803', '6819', '7564', '8228', '843', '96']"
6,3,"['3257', '2320', '2216', '1689', '5857', '4098', '2588', '957', '3303', '7811', '3276']","['1049', '1535', '1689', '2216', '2320', '2588', '3199', '3257', '3276', '3303', '4098', '5071', '5857', '5890', '6813', '7012', '7811', '8205', '957']"
7,6,"['1234', '3969', '4082', '2374', '1466', '6951', '8151', '5840', '1192', '1213', '4968']","['1192', '1213', '1234', '1466', '2133', '2374', '2749', '3233', '3664', '3969', '4080', '4082', '4197', '4968', '5840', '6938', '6951', '8151']"
8,5,"['1166', '8132', '4983', '7601', '5012', '4034', '6955', '5862', '5041', '4081', '3166']","['1166', '3166', '4034', '4081', '4983', '5012', '5041', '5862', '5955', '6955', '7547', '7591', '7601', '8119', '8132', '8146', '8154']"
9,6,"['4984', '4018', '7596', '3225', '4993', '4036', '5038', '5015', '1875', '7662', '6949']","['1875', '2350', '3225', '4018', '4036', '4951', '4984', '4993', '5015', '5038', '5844', '6770', '6880', '6949', '7596', '7662']"
10,2,"['421', '4988', '6786', '5859', '6126', '8142', '7525', '4174', '5332', '4158', '6065']","['3423', '4158', '4171', '4174', '421', '4988', '5332', '5536', '5859', '6065', '6126', '6786', '7525', '7588', '8118', '8126', '8142']"
11,2,"['2307', '4663', '5872', '5937', '5906', '5892', '5947', '5839', '4449', '4224', '4978']","['2307', '3214', '3294', '4224', '4449', '4663', '4978', '5839', '5872', '5892', '5906', '5937', '5947', '7608', '7741', '8121']"
12,1,"['4881', '6828', '7526', '4037', '3271', '1339', '5967', '2393', '6781', '3160', '7648']","['1339', '1905', '2064', '2393', '3160', '3271', '4037', '4881', '5967', '6781', '6782', '6797', '6828', '7526', '7648', '8144', '871']"
13,5,"['4046', '4199', '6801', '5846', '4217', '7611', '6847', '7640', '6119', '4971', '7113']","['3163', '4046', '4199', '4217', '4971', '5010', '5846', '6119', '6801', '6847', '7113', '7117', '7611', '7640', '8266', '956']"
14,3,"['1373', '4866', '4039', '5045', '6826', '8112', '5284', '3172', '6807', '6291', '7647']","['1373', '3172', '4039', '4040', '4455', '4866', '5045', '5284', '5850', '6291', '6807', '6826', '7523', '7607', '7647', '8112']"
15,8,"['1837', '8155', '5927', '4068', '4066', '6130', '6783', '2227', '2036', '6711', '5944']","['1837', '2028', '2036', '2227', '4017', '4066', '4068', '4070', '4137', '4963', '5001', '5927', '5944', '6130', '6711', '6783', '6945', '7016', '8155']"
16,4,"['167', '7543', '5185', '4950', '5022', '7551', '7090', '3973', '1233', '6888', '6141']","['1233', '1479', '167', '2306', '3973', '4950', '4990', '5000', '5022', '5137', '5185', '6141', '6888', '7090', '7543', '7551', '7571', '8129']"
