draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.years_exp
859952157120663552,16,,1,451807541647634432,5816,,1,1,9,Nick,,Bosa,1654631401282,97,5816,DL,16,nfl,Active,SF,3
859952157120663552,4,,2,741144911407095808,6813,,6,1,73,Jonathan,,Taylor,1661050819999,28,6813,RB,4,nfl,Active,IND,2
859952157120663552,3,,3,861702367484178432,5849,,2,1,26,Kyler,,Murray,1661108720710,1,5849,QB,3,nfl,Active,ARI,3
859952157120663552,2,,4,862559746694205440,4217,,13,1,17,George,,Kittle,1661033417400,85,4217,TE,2,nfl,Active,SF,5
859952157120663552,1,,5,561747196680642560,7564,,5,1,50,Ja'Marr,,Chase,1661160303825,1,7564,WR,1,nfl,Active,CIN,1
859952157120663552,1,,6,561747196680642560,4029,,5,1,50,Dalvin,,Cook,1661089224308,4,4029,RB,1,nfl,Active,MIN,5
859952157120663552,15,,7,453691856656527360,4070,,15,1,7,T.J.,,Watt,1644600650414,90,4070,LB,15,nfl,Active,PIT,5
859952157120663552,14,,8,558483388996636672,6794,,3,1,58,Justin,,Jefferson,1661091624466,18,6794,WR,14,nfl,Active,MIN,2
859952157120663552,9,,9,861798755085692928,4984,,9,1,44,Josh,,Allen,1661358332699,17,4984,QB,9,nfl,Active,BUF,4
859952157120663552,5,,10,548317142968336384,4034,,8,1,66,Christian,,McCaffrey,1661369450616,22,4034,RB,5,nfl,Active,CAR,5
859952157120663552,7,,11,594730254984077312,6790,,4,1,49,D'Andre,,Swift,1661360145373,32,6790,RB,7,nfl,Active,DET,2
859952157120663552,7,,12,594730254984077312,7528,,4,1,56,Najee,,Harris,1661036117720,22,7528,RB,7,nfl,Active,PIT,1
859952157120663552,13,,13,561715408029736960,7588,,10,1,32,Javonte,,Williams,1661194808442,33,7588,RB,13,nfl,Active,DEN,1
859952157120663552,7,,14,594730254984077312,3164,,4,1,33,Ezekiel,,Elliott,1661060420688,21,3164,RB,7,nfl,Active,DAL,6
859952157120663552,2,,15,862559746694205440,4046,,13,1,30,Patrick,,Mahomes,1661044517837,15,4046,QB,2,nfl,Active,KC,5
859952157120663552,7,,16,594730254984077312,7553,,4,1,25,Kyle,,Pitts,1661230229430,8,7553,TE,7,nfl,Active,ATL,1
859952157120663552,10,,17,862499213718704128,4663,,11,2,64,Austin,,Ekeler,1659121838547,30,4663,RB,10,nfl,Active,LAC,5
