player_id,player_score
1426,0.0
2309,24.0
2311,3.0
4035,8.5
4960,12.5
5032,4.8
5346,13.5
5870,36.18
5876,4.5
6125,0.0
6151,6.1
6806,9.3
6943,0.0
7757,0.0
8167,1.6
8225,5.7
2449,3.6
3163,22.4
3198,0.0
3233,17.0
3321,14.7
4089,9.0
4149,22.2
5110,4.8
5849,0.0
5991,5.0
6056,10.5
6824,7.8
7600,5.1
7637,11.5
8265,0.0
8329,8.5
1476,9.2
3214,7.7
5086,3.8
5297,14.5
5960,18.0
6011,13.96
6120,15.0
6794,3.0
6809,2.0
6904,0.0
7596,2.8
8136,7.3
8137,3.9
1352,12.4
2028,0.0
2389,5.5
3164,9.7
3230,2.5
3271,2.6
3303,1.5
4197,0.0
4602,12.7
4980,0.0
6788,9.5
6790,25.7
7528,19.3
7553,0.0
7610,0.0
7670,0.0
8148,4.0
843,5.5
947,2.8
1052,10.0
2505,14.7
2750,2.4
4029,5.4
5848,9.1
5857,5.0
5987,5.0
6149,0.4
6768,0.0
6781,5.5
6803,22.2
6819,13.1
6880,1.5
7564,0.0
8289,16.0
8314,19.0
1049,0.0
1535,17.4
1689,2.1
2036,1.0
2216,43.7
2711,0.0
3199,0.0
3276,9.5
3286,1.4
4098,0.4
5318,14.0
5890,6.4
6813,0.0
7045,5.1
7672,11.0
7811,11.5
8130,17.3
1234,24.58
1466,7.8
2133,30.8
2197,5.9
2374,2.5
2749,19.1
3969,6.7
4080,3.9
4082,2.1
4968,1.0
5089,5.6
5334,9.5
6118,2.5
8132,16.0
8151,14.7
8323,9.0
1166,10.9
1343,2.5
4034,28.3
4111,3.5
4983,20.7
5012,14.5
5332,12.0
5816,1.5
5862,6.5
6826,9.7
6938,13.8
7547,8.2
8135,10.6
8146,3.3
8154,8.7
8363,0.0
1875,12.5
2350,6.0
3225,7.9
4018,1.2
4036,9.0
4147,0.0
4984,2.72
5015,0.0
5038,5.4
5844,9.4
5847,12.5
6770,6.28
6949,8.0
7562,2.0
7662,17.5
8341,1.0
1233,8.0
1837,0.0
2617,11.5
4158,0.0
4171,1.0
4988,12.1
5061,10.5
5536,0.0
5859,17.7
6291,9.5
6786,15.5
7525,16.0
7527,16.26
7588,0.0
7677,0.0
8111,2.7
8126,0.0
8138,1.8
8142,3.0
8172,0.0
1192,12.0
3160,4.5
3262,6.0
3294,16.38
4663,30.1
4978,4.0
4999,1.5
5892,4.6
5906,0.0
5917,0.0
5937,4.5
6845,7.4
6920,12.2
7594,8.0
7608,3.1
8119,5.2
8123,6.3
1905,8.0
2393,1.0
3202,1.1
3634,5.9
4033,2.6
4037,17.5
4381,13.06
4881,0.0
5967,0.0
6797,16.68
6828,10.1
7526,6.7
7648,12.5
7787,1.0
8144,6.2
8183,18.06
2161,20.1
4017,21.86
4032,0.0
4046,26.02
4199,12.3
4217,11.3
4971,0.0
4973,3.5
5846,0.8
5947,13.9
6119,12.5
6801,1.8
7023,8.0
7117,8.5
7611,6.1
7640,5.5
1373,17.12
3172,5.5
4039,0.0
4040,3.1
4066,4.4
4180,8.5
4455,7.2
4866,6.3
4951,6.6
5041,16.0
5045,7.4
5284,9.1
5850,17.5
6807,7.0
7523,5.48
7607,2.5
8122,5.4
4068,12.9
4070,14.5
4137,12.5
4963,16.5
5001,21.1
5580,27.5
5927,5.7
5944,27.0
6130,0.3
6783,7.3
6945,0.0
7016,14.0
7591,17.2
8112,7.2
8205,11.9
96,16.56
1479,9.3
167,37.68
3973,19.0
4191,1.0
4950,3.1
4990,0.0
5000,8.8
5022,6.0
5185,8.4
5520,5.0
5985,7.0
6141,19.5
6888,13.5
7002,8.7
7543,21.5
7571,0.0
8160,10.92
8210,3.9
8228,11.3
