roster_id,matchup_id,starters,players
1,1,"['5870', '6151', '6943', '2309', '0', '1426', '7757', '6125', '4960', '5876', '5348']","['1426', '2309', '2311', '4035', '4960', '5346', '5348', '5870', '5876', '6125', '6151', '6806', '6943', '7757', '8167', '8225']"
2,6,"['5849', '3198', '2449', '6824', '7600', '3321', '4149', '5991', '8265', '5071', '6056']","['2449', '3163', '3198', '3321', '4089', '4149', '5071', '5110', '5849', '5991', '6056', '6824', '7600', '7637', '8265', '8329']"
3,2,"['6904', '1476', '6794', '5086', '3214', '8137', '8136', '6120', '5960', '6809', '5297']","['1476', '3214', '5086', '5297', '5960', '6120', '6794', '6809', '6904', '8136', '8137']"
4,1,"['2028', '6790', '8148', '1352', '3271', '3164', '7528', '3303', '4980', '3230', '2389']","['1352', '2028', '2389', '3164', '3230', '3271', '3303', '4197', '4602', '4980', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '843', '947']"
5,3,"['6768', '4029', '6803', '7564', '5857', '6149', '5848', '8289', '6781', '8314', '6880']","['1052', '2750', '4029', '4973', '5848', '5857', '5987', '6149', '6768', '6781', '6803', '6819', '6880', '7564', '8289', '8314']"
6,7,"['1049', '7045', '3286', '2216', '8130', '1689', '4098', '2036', '5318', '7811', '7672']","['1049', '1535', '1689', '2036', '2216', '2711', '3199', '3276', '3286', '4098', '5318', '5890', '6813', '7045', '7672', '7811', '8130']"
7,4,"['1234', '6012', '2133', '2374', '1466', '2749', '3969', '6118', '5334', '3233', '4968']","['1234', '1466', '2133', '2374', '2749', '3233', '3969', '4080', '4082', '4968', '5334', '6012', '6118', '6984', '8132', '8150', '8151']"
8,4,"['1166', '4111', '7547', '8146', '5012', '4034', '4983', '5816', '5332', '1343', '5862']","['1166', '1343', '4034', '4111', '4983', '5012', '5332', '5816', '5862', '6826', '6938', '7083', '7547', '8146', '8154', '8363']"
9,3,"['4984', '4147', '5038', '3225', '5844', '4018', '4036', '5015', '2350', '8341', '6949']","['1875', '2350', '3225', '4018', '4036', '4147', '4984', '5015', '5038', '5844', '5847', '5955', '6770', '6949', '6996', '7662', '8341']"
10,7,"['7527', '4988', '7525', '5859', '8172', '8138', '6786', '5061', '1233', '6291', '7651']","['1233', '1837', '4158', '4171', '4988', '5061', '5536', '5859', '6291', '6786', '7525', '7527', '7588', '7651', '7677', '8111', '8126', '8138', '8142', '8172']"
11,8,"['3294', '4663', '5154', '5872', '5906', '6927', '5937', '3558', '4118', '5655', '5056']","['3294', '3558', '4118', '4136', '4663', '4978', '5056', '5154', '5655', '5872', '5880', '5892', '5906', '5917', '5937', '6927', '7569', '7608']"
12,8,"['6797', '5967', '7526', '3634', '4033', '3202', '4037', '2393', '1905', '7787', '7648']","['1905', '2393', '3202', '3634', '4033', '4037', '4381', '4881', '5967', '6797', '6828', '7526', '7648', '7787', '8144', '8183']"
13,5,"['4046', '7611', '5846', '6801', '4217', '5133', '2161', '7640', '7023', '7117', '6119']","['2161', '4017', '4032', '4046', '4199', '4217', '4971', '5133', '5846', '6119', '6801', '7023', '7113', '7117', '7611', '7640']"
14,6,"['1373', '4866', '4951', '4040', '4066', '5284', '5850', '3256', '6807', '4081', '5041']","['1373', '3256', '4039', '4040', '4066', '4081', '4455', '4866', '4951', '4976', '5041', '5045', '5284', '5850', '6807', '7523', '7607', '8122']"
15,2,"['5089', '8205', '6783', '4177', '5001', '4137', '4068', '4070', '7016', '4963', '2353']","['2227', '2353', '4068', '4070', '4137', '4177', '4963', '5001', '5089', '5927', '5944', '6130', '6783', '6945', '7016', '7591', '8205']"
16,5,"['167', '7543', '4950', '1479', '5985', '8129', '8228', '3973', '6141', '5520', '4191']","['1479', '167', '3973', '4191', '4950', '4990', '5000', '5022', '5185', '5520', '5985', '6141', '6888', '7002', '7543', '7571', '8129', '8160', '8210', '8228']"
