roster_id,matchup_id,starters,players
1,5,"['5870', '6151', '1426', '2309', '4602', '6943', '4035', '2311', '5346', '5893', '5348']","['1426', '2197', '2309', '2311', '4035', '4602', '4960', '5346', '5348', '5870', '5893', '6151', '6806', '6886', '6943', '7606', '8150']"
2,2,"['0', '3198', '2449', '3321', '4089', '5916', '4149', '5991', '7637', '5071', '6056']","['2449', '3198', '3321', '4089', '4149', '5071', '5110', '5849', '5916', '5991', '6056', '6824', '7600', '7637', '8265', '8329']"
3,6,"['6904', '6820', '6794', '5086', '3202', '8137', '8136', '6120', '5960', '4180', '5928']","['1476', '3156', '3202', '3214', '4180', '5086', '544', '5928', '5960', '6120', '6794', '6820', '6904', '7561', '8135', '8136', '8137']"
4,1,"['2028', '6790', '7670', '4197', '7553', '3164', '7528', '843', '4980', '5876', '2389']","['1343', '1352', '2028', '2389', '3164', '3230', '3303', '4197', '4980', '5209', '5876', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '843', '947']"
5,3,"['6768', '4029', '6803', '6819', '4381', '2750', '7601', '4032', '1052', '7666', '5056']","['1052', '2750', '4029', '4032', '4033', '4381', '4973', '5056', '5848', '5987', '6768', '6803', '6819', '6880', '7564', '7601', '7666', '96']"
6,3,"['1049', '1535', '1689', '2216', '5857', '6813', '4098', '957', '7012', '7811', '7672']","['1049', '1535', '1689', '1737', '2216', '2320', '3199', '3276', '3286', '4098', '4335', '5857', '5890', '6813', '7012', '7672', '7811', '957']"
7,2,"['1234', '3969', '2133', '2374', '1466', '2749', '8151', '3256', '1192', '3233', '4968']","['1192', '1234', '1466', '2133', '2374', '2749', '3233', '3256', '3969', '4080', '4082', '4968', '6118', '6951', '8132', '8151']"
8,8,"['1166', '4111', '7547', '4983', '6826', '8154', '4034', '5862', '2330', '1213', '5816']","['1166', '1213', '2330', '4034', '4111', '4983', '5012', '5816', '5862', '6826', '6955', '7547', '7565', '8119', '8146', '8154', '8228']"
9,7,"['4984', '6996', '5038', '6853', '5844', '3242', '4993', '5847', '2350', '7662', '6949']","['1875', '2350', '3225', '3242', '4018', '4984', '4993', '5015', '5038', '5844', '5847', '5955', '6770', '6853', '6949', '6996', '7662']"
10,6,"['3163', '4988', '7525', '5859', '8111', '8126', '6786', '4168', '5332', '4158', '1233']","['1233', '3163', '4158', '4168', '4171', '421', '4988', '5332', '5536', '5859', '6786', '7525', '7588', '7677', '8111', '8126', '8142', '8172']"
11,4,"['3294', '4663', '5937', '5872', '5906', '7608', '5892', '2427', '4118', '8323', '4978']","['2307', '2427', '3294', '4118', '4663', '4978', '5872', '5892', '5906', '5917', '5937', '5947', '7569', '7594', '7608', '8323']"
12,5,"['6797', '5967', '7526', '4037', '1339', '8144', '3271', '2064', '1905', '6781', '7648']","['1339', '1905', '2064', '2393', '3160', '3271', '4037', '4881', '5967', '6781', '6782', '6797', '6828', '7526', '7648', '8144', '871']"
13,1,"['4046', '4199', '4177', '5846', '5010', '2161', '4217', '7640', '6119', '4971', '3166']","['2036', '2161', '3166', '4046', '4177', '4199', '4217', '4971', '5010', '5846', '6119', '6801', '6847', '7117', '7611', '7640']"
14,7,"['1373', '4866', '4039', '4040', '5985', '5284', '5850', '3172', '5334', '6291', '5041']","['1373', '3172', '4039', '4040', '4455', '4866', '5041', '5045', '5284', '5334', '5850', '5985', '6291', '6807', '7523', '7607', '8112']"
15,4,"['7591', '6130', '5927', '6783', '5001', '6945', '4137', '2227', '4070', '5655', '5944']","['1992', '2227', '4066', '4068', '4070', '4137', '4449', '4963', '5001', '5248', '5347', '5655', '5927', '5944', '6130', '6783', '6945', '7016', '7591', '8205']"
16,8,"['167', '7543', '7090', '5185', '5022', '8129', '4950', '3973', '6141', '5520', '4191']","['1479', '167', '2306', '3973', '4191', '4950', '4990', '5000', '5022', '5185', '5520', '5871', '6141', '6888', '7090', '7543', '7571', '8129']"
