roster_id,matchup_id,starters,players
1,2,"['5870', '6151', '6943', '2309', '6850', '8167', '4035', '2311', '4960', '5876', '5346']","['1426', '2197', '2309', '2311', '4035', '4960', '5346', '5348', '5870', '5876', '6151', '6806', '6850', '6943', '7049', '7606', '8167']"
2,5,"['3163', '3198', '2449', '6824', '7600', '3321', '4149', '5991', '8265', '5071', '6056']","['2449', '3163', '3198', '3321', '4089', '4149', '5071', '5110', '5849', '5991', '6056', '6824', '7600', '7637', '8265', '8329']"
3,3,"['6904', '1476', '6794', '8135', '3214', '8137', '8136', '6120', '5960', '6809', '5928']","['1476', '3214', '4976', '5086', '5928', '5960', '6120', '6794', '6809', '6904', '8135', '8136', '8137']"
4,1,"['2028', '6790', '7670', '4197', '4602', '3164', '7528', '3303', '4980', '1343', '2389']","['1343', '1352', '2028', '2389', '3164', '3230', '3303', '4197', '4602', '4980', '5209', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '843', '947']"
5,2,"['6768', '4029', '6803', '7564', '4973', '6149', '6819', '4032', '1052', '6291', '6880']","['1052', '2750', '4029', '4032', '4973', '5848', '5987', '6149', '6291', '6768', '6781', '6803', '6819', '6880', '7564', '96']"
6,6,"['1049', '1535', '3286', '2216', '8219', '6813', '4098', '957', '7012', '7811', '7672']","['1049', '1535', '1689', '2216', '2711', '3199', '3276', '3286', '4098', '5890', '6813', '7012', '7672', '7811', '8130', '8219', '957']"
7,3,"['1234', '8151', '2133', '2374', '1466', '4080', '3969', '3256', '4968', '3233', '5334']","['1234', '1466', '2133', '2374', '2749', '3233', '3256', '3969', '4080', '4082', '4968', '5334', '6118', '8132', '8150', '8151']"
8,5,"['1166', '8154', '7547', '8146', '5012', '4034', '6886', '5816', '5332', '1213', '8363']","['1166', '1213', '4034', '4111', '4983', '5012', '5332', '5816', '5862', '6826', '6886', '6938', '7547', '8146', '8154', '8363']"
9,4,"['4984', '4147', '5038', '3225', '5844', '3242', '4993', '5015', '2350', '7662', '6949']","['1875', '2350', '3225', '3242', '4018', '4147', '4984', '4993', '5015', '5038', '5844', '5847', '5955', '6770', '6949', '6996', '7662']"
10,8,"['1837', '4988', '7525', '5859', '8172', '8142', '6786', '4168', '1233', '2445', '7651']","['1233', '1837', '2445', '4158', '4168', '4171', '421', '4988', '5536', '5859', '6786', '7525', '7588', '7651', '7677', '8111', '8126', '8138', '8142', '8172']"
11,7,"['3294', '4663', '7569', '5872', '5906', '5947', '5892', '2427', '4118', '4136', '4978']","['2307', '2427', '3174', '3294', '4118', '4136', '4663', '4978', '5872', '5880', '5892', '5906', '5917', '5937', '5947', '7569', '7608', '8323']"
12,8,"['4881', '5967', '8144', '3634', '4381', '4037', '7526', '2393', '1905', '7787', '7648']","['1905', '2064', '2393', '3634', '4033', '4037', '4381', '4881', '5967', '6782', '6797', '6828', '7526', '7648', '7787', '8144']"
13,4,"['4046', '4199', '5846', '6801', '4217', '7611', '2161', '7640', '7023', '4971', '6119']","['2161', '4017', '4046', '4199', '4217', '4971', '5133', '5846', '6119', '6801', '7023', '7113', '7117', '7611', '7640', '8112']"
14,7,"['7523', '4866', '5045', '4040', '4066', '5284', '5850', '3172', '6807', '7136', '5041']","['1373', '2359', '3172', '4039', '4040', '4066', '4455', '4866', '5041', '5045', '5284', '5850', '6807', '7136', '7523', '7607', '8122']"
15,1,"['7591', '6130', '5927', '6783', '5001', '5248', '8205', '4070', '5944', '4963', '2353']","['2227', '2353', '4068', '4070', '4137', '4963', '5001', '5089', '5248', '5927', '5944', '6130', '6783', '6853', '6945', '7016', '7591', '8205']"
16,6,"['167', '7543', '4950', '5185', '5985', '8129', '1479', '3973', '6141', '5520', '4191']","['1479', '167', '3973', '4191', '4950', '4990', '5000', '5022', '5185', '5520', '5985', '6141', '6888', '7002', '7543', '7571', '8129', '8160', '8228']"
