roster_id,matchup_id,starters,players
1,7,"['5870', '4035', '6943', '1426', '4602', '2309', '6151', '6124', '4960', '6871', '1233']","['1233', '1426', '2197', '2309', '4035', '4602', '4960', '5248', '5346', '5870', '6124', '6151', '6806', '6871', '6886', '6943', '7606', '8150']"
2,2,"['5849', '3198', '6824', '3321', '7600', '5916', '2449', '5991', '7637', '7641', '8329']","['2449', '3198', '3321', '4089', '4149', '5110', '5849', '5916', '5991', '6056', '6824', '7600', '7637', '7641', '8265', '8329']"
3,8,"['6904', '1476', '6794', '8137', '3202', '8121', '8136', '6125', '5960', '544', '6120']","['1476', '1837', '2505', '3156', '3202', '5086', '544', '5928', '5960', '6120', '6125', '6220', '6794', '6820', '6904', '7561', '8121', '8135', '8136', '8137']"
4,1,"['3257', '7528', '1352', '2319', '7553', '6790', '4197', '3303', '5894', '6788', '3230']","['1343', '1352', '2319', '3164', '3230', '3257', '3303', '4197', '5209', '5894', '6788', '6790', '7528', '7553', '7610', '7670', '8148', '8205', '947']"
5,5,"['6768', '4029', '1346', '6819', '4973', '7601', '6803', '843', '1052', '5017', '5056']","['1052', '1346', '3242', '4029', '4033', '4381', '4973', '5017', '5056', '5848', '5987', '6768', '6803', '6819', '7564', '7601', '843', '96']"
6,1,"['7583', '6813', '1689', '2216', '5857', '4098', '2320', '957', '7012', '7811', '3276']","['1049', '1535', '1689', '2216', '2320', '2588', '3199', '3276', '4098', '4335', '5816', '5857', '5890', '6813', '7012', '7583', '7811', '957']"
7,4,"['1234', '3969', '2133', '2374', '5010', '2749', '8151', '6118', '1192', '3233', '4968']","['1192', '1234', '1466', '2133', '2374', '2749', '3233', '3969', '4080', '4082', '4968', '5010', '6118', '6951', '8132', '8151']"
8,7,"['1166', '4034', '7547', '4983', '5012', '4111', '8146', '5862', '4118', '1213', '3166']","['1166', '1213', '3166', '4034', '4111', '4118', '4983', '5012', '5041', '5862', '6850', '6955', '6996', '7547', '8119', '8146', '8154']"
9,8,"['4984', '4018', '1817', '3225', '5844', '4036', '5038', '5015', '1875', '7662', '6949']","['1817', '1875', '2350', '3225', '4018', '4036', '4984', '4993', '5015', '5038', '5844', '5955', '6770', '6880', '6949', '7596', '7662']"
10,4,"['829', '4988', '6786', '5859', '8172', '7525', '8126', '4168', '5332', '4158', '7677']","['3423', '4158', '4168', '4171', '421', '4988', '5332', '5536', '5859', '6786', '7525', '7588', '7677', '8126', '8142', '8172', '829']"
11,2,"['3294', '5892', '5880', '5937', '5906', '7608', '5947', '5839', '2389', '4224', '4978']","['2307', '2389', '3294', '4224', '4663', '4978', '5839', '5872', '5880', '5892', '5906', '5917', '5937', '5947', '7594', '7608']"
12,3,"['4881', '5967', '7526', '4037', '1339', '8144', '6828', '2064', '1905', '6781', '2393']","['1339', '1905', '2064', '2393', '3160', '3271', '4037', '4881', '5967', '6781', '6782', '6797', '6828', '7526', '7648', '8144', '871']"
13,3,"['3163', '4199', '6801', '5846', '4217', '7611', '6847', '7640', '6119', '8314', '8266']","['2036', '3163', '4046', '4199', '4217', '4971', '5846', '6119', '6801', '6847', '7113', '7117', '7611', '7640', '8266', '8314', '956']"
14,5,"['1373', '4866', '4039', '5045', '3214', '5850', '7607', '3172', '6807', '6291', '7647']","['1373', '3172', '3214', '4039', '4040', '4455', '4866', '5045', '5284', '5850', '6291', '6807', '7523', '7607', '7647', '8112']"
15,6,"['2028', '6945', '5927', '6783', '6126', '6130', '5001', '2227', '5944', '6711', '4963']","['2028', '2227', '4066', '4068', '4070', '4137', '4963', '5001', '5347', '5927', '5944', '6126', '6130', '6711', '6783', '6938', '6945', '7016', '7591', '8138']"
16,6,"['167', '7543', '7090', '7571', '5022', '8129', '4950', '3973', '2617', '5520', '4990']","['1479', '167', '2306', '2617', '3973', '4950', '4990', '5000', '5022', '5185', '5520', '6141', '6888', '7090', '7543', '7571', '8129']"
